country,both_sexes_lex,female_lex,male_lex
Albania,78,79.91,76.25
Algeria,77.13,78.12,76.23
Angola,63.06,65.52,60.7
Antigua and Barbuda,76.45,77.96,74.88
Argentina,76.58,79.5,73.51
Armenia,76.03,79.16,72.49
Australia,83.04,84.84,81.25
Austria,81.65,83.78,79.44
Azerbaijan,71.43,74.09,68.78
Bahamas,73.21,76.59,69.85
Bahrain,75.81,77.02,75.04
Bangladesh,74.25,75.64,72.99
Barbados,76.03,77.66,74.32
Belarus,74.81,79.62,69.65
Belgium,81.42,83.51,79.29
Belize,74.41,77.77,71.36
Benin,63.43,65.66,61.19
Bhutan,73.11,74.39,72.03
Bolivia,72.14,73.13,71.15
Botswana,62.25,65.46,58.95
Brazil,75.9,79.39,72.45
Brunei Darussalam,74.32,75.36,73.39
Bulgaria,75.07,78.6,71.65
Burkina Faso,62.7,65.23,60.06
Burundi,63.84,66.14,61.55
Cabo Verde,74.03,77.94,69.9
Cambodia,70.12,72.75,67.23
Cameroon,62.36,64.5,60.29
Canada,82.24,84.05,80.4
Central African Republic,53.1,56.26,50.21
Chad,59.63,61.34,57.95
Chile,80.74,83.25,78.09
China,77.43,80.49,74.73
Colombia,79.31,81.87,76.69
Congo,64.74,65.61,63.81
Costa Rica,80.85,83.44,78.31
Côte d'Ivoire,62.92,65.81,60.53
Croatia,78.64,81.6,75.54
Cuba,77.76,80.25,75.37
Cyprus,83.14,85.12,81.12
Czechia,79.13,81.93,76.3
Democratic Republic of the Congo,62.35,64.82,60
Denmark,81.32,83.02,79.59
Djibouti,65.81,67.78,64.1
Dominican Republic,72.84,76.19,69.76
Ecuador,78.45,80.5,76.41
Egypt,71.82,74.14,69.59
El Salvador,75.03,79.13,70.58
Equatorial Guinea,62.19,63.58,60.87
Estonia,78.88,82.6,74.7
Eswatini,57.73,63.18,53.36
Ethiopia,68.7,70.52,66.9
Fiji,68.01,70.28,65.93
Finland,81.61,84.04,79.16
France,82.48,85.09,79.76
Gabon,66.47,69.73,63.59
Gambia,65.47,67.65,63.42
Georgia,73.28,77.76,68.79
