country,Dim1,2019_LEx
Afghanistan,Both sexes,63.21
Afghanistan,Female,63.16
Afghanistan,Male,63.29
Albania,Both sexes,78
Albania,Female,79.91
Albania,Male,76.25
Algeria,Both sexes,77.13
Algeria,Female,78.12
Algeria,Male,76.23
Angola,Both sexes,63.06
Angola,Female,65.52
Angola,Male,60.7
Antigua and Barbuda,Both sexes,76.45
Antigua and Barbuda,Female,77.96
Antigua and Barbuda,Male,74.88
Argentina,Both sexes,76.58
Argentina,Female,79.5
Argentina,Male,73.51
Armenia,Both sexes,76.03
Armenia,Female,79.16
Armenia,Male,72.49
Australia,Both sexes,83.04
Australia,Female,84.84
Australia,Male,81.25
Austria,Both sexes,81.65
Austria,Female,83.78
Austria,Male,79.44
Azerbaijan,Both sexes,71.43
Azerbaijan,Female,74.09
Azerbaijan,Male,68.78
Bahamas,Both sexes,73.21
Bahamas,Female,76.59
Bahamas,Male,69.85
Bahrain,Both sexes,75.81
Bahrain,Female,77.02
Bahrain,Male,75.04
Bangladesh,Both sexes,74.25
Bangladesh,Female,75.64
Bangladesh,Male,72.99
Barbados,Both sexes,76.03
Barbados,Female,77.66
Barbados,Male,74.32
Belarus,Both sexes,74.81
Belarus,Female,79.62
Belarus,Male,69.65
Belgium,Both sexes,81.42
Belgium,Female,83.51
Belgium,Male,79.29
Belize,Both sexes,74.41
Belize,Female,77.77
Belize,Male,71.36
Benin,Both sexes,63.43
Benin,Female,65.66
Benin,Male,61.19
Bhutan,Both sexes,73.11
Bhutan,Female,74.39
Bhutan,Male,72.03
Bolivia,Both sexes,72.14
Bolivia,Female,73.13
Bolivia,Male,71.15
Bosnia and Herzegovina,Both sexes,76.75
Bosnia and Herzegovina,Female,79.09
Bosnia and Herzegovina,Male,74.38
Botswana,Both sexes,62.25
Botswana,Female,65.46
Botswana,Male,58.95
Brazil,Both sexes,75.9
Brazil,Female,79.39
Brazil,Male,72.45
Brunei Darussalam,Both sexes,74.32
Brunei Darussalam,Female,75.36
Brunei Darussalam,Male,73.39
Bulgaria,Both sexes,75.07
Bulgaria,Female,78.6
Bulgaria,Male,71.65
Burkina Faso,Both sexes,62.7
Burkina Faso,Female,65.23
Burkina Faso,Male,60.06
Burundi,Both sexes,63.84
Burundi,Female,66.14
Burundi,Male,61.55
Cabo Verde,Both sexes,74.03
Cabo Verde,Female,77.94
Cabo Verde,Male,69.9
Cambodia,Both sexes,70.12
Cambodia,Female,72.75
Cambodia,Male,67.23
Cameroon,Both sexes,62.36
Cameroon,Female,64.5
Cameroon,Male,60.29
Canada,Both sexes,82.24
Canada,Female,84.05
Canada,Male,80.4
Central African Republic,Both sexes,53.1
Central African Republic,Female,56.26
Central African Republic,Male,50.21
Chad,Both sexes,59.63
Chad,Female,61.34
Chad,Male,57.95
Chile,Both sexes,80.74
Chile,Female,83.25
Chile,Male,78.09
China,Both sexes,77.43
China,Female,80.49
China,Male,74.73
Colombia,Both sexes,79.31
Colombia,Female,81.87
Colombia,Male,76.69
Comoros,Both sexes,67.39
Comoros,Female,68.88
Comoros,Male,65.92
Congo,Both sexes,64.74
Congo,Female,65.61
Congo,Male,63.81
Costa Rica,Both sexes,80.85
Costa Rica,Female,83.44
Costa Rica,Male,78.31
Côte d'Ivoire,Both sexes,62.92
Côte d'Ivoire,Female,65.81
Côte d'Ivoire,Male,60.53
Croatia,Both sexes,78.64
Croatia,Female,81.6
Croatia,Male,75.54
Cuba,Both sexes,77.76
Cuba,Female,80.25
Cuba,Male,75.37
Cyprus,Both sexes,83.14
Cyprus,Female,85.12
