Country Name,Series Name,2018
Albania,"tot_alchohol_per_capita (litres, 15+ yrs)",7.17
Albania,tobacco_use (% of adults),23
Algeria,"tot_alchohol_per_capita (litres, 15+ yrs)",0.95
Algeria,tobacco_use (% of adults),21
Angola,"tot_alchohol_per_capita (litres, 15+ yrs)",6.94
Angola,tobacco_use (% of adults),..
Antigua and Barbuda,"tot_alchohol_per_capita (litres, 15+ yrs)",6.38
Antigua and Barbuda,tobacco_use (% of adults),..
Argentina,"tot_alchohol_per_capita (litres, 15+ yrs)",9.65
Argentina,tobacco_use (% of adults),24.9
Armenia,"tot_alchohol_per_capita (litres, 15+ yrs)",5.55
Armenia,tobacco_use (% of adults),25.8
Aruba,"tot_alchohol_per_capita (litres, 15+ yrs)",..
Aruba,tobacco_use (% of adults),..
Australia,"tot_alchohol_per_capita (litres, 15+ yrs)",10.51
Australia,tobacco_use (% of adults),14
Austria,"tot_alchohol_per_capita (litres, 15+ yrs)",11.96
Austria,tobacco_use (% of adults),27.1
Azerbaijan,"tot_alchohol_per_capita (litres, 15+ yrs)",4.41
Azerbaijan,tobacco_use (% of adults),24.2
Bahamas,"tot_alchohol_per_capita (litres, 15+ yrs)",4.78
Bahamas,tobacco_use (% of adults),10.7
Bahrain,"tot_alchohol_per_capita (litres, 15+ yrs)",1.09
Bahrain,tobacco_use (% of adults),15.2
Bangladesh,"tot_alchohol_per_capita (litres, 15+ yrs)",0.02
Bangladesh,tobacco_use (% of adults),35.2
Barbados,"tot_alchohol_per_capita (litres, 15+ yrs)",9.69
Barbados,tobacco_use (% of adults),8.5
Belarus,"tot_alchohol_per_capita (litres, 15+ yrs)",11.45
Belarus,tobacco_use (% of adults),30.9
Belgium,"tot_alchohol_per_capita (litres, 15+ yrs)",11.08
Belgium,tobacco_use (% of adults),23.9
Belize,"tot_alchohol_per_capita (litres, 15+ yrs)",6.22
Belize,tobacco_use (% of adults),8.8
Benin,"tot_alchohol_per_capita (litres, 15+ yrs)",2.81
Benin,tobacco_use (% of adults),7.2
Bhutan,"tot_alchohol_per_capita (litres, 15+ yrs)",0.43
Bhutan,tobacco_use (% of adults),..
Bolivia,"tot_alchohol_per_capita (litres, 15+ yrs)",4.43
Bolivia,tobacco_use (% of adults),13.2
Botswana,"tot_alchohol_per_capita (litres, 15+ yrs)",6.59
Botswana,tobacco_use (% of adults),19.8
Brazil,"tot_alchohol_per_capita (litres, 15+ yrs)",7.42
Brazil,tobacco_use (% of adults),13.2
Brunei Darussalam,"tot_alchohol_per_capita (litres, 15+ yrs)",0.48
Brunei Darussalam,tobacco_use (% of adults),16.2
Bulgaria,"tot_alchohol_per_capita (litres, 15+ yrs)",12.65
Bulgaria,tobacco_use (% of adults),39.4
Burkina Faso,"tot_alchohol_per_capita (litres, 15+ yrs)",12.03
Burkina Faso,tobacco_use (% of adults),14.9
Burundi,"tot_alchohol_per_capita (litres, 15+ yrs)",7.19
Burundi,tobacco_use (% of adults),12.2
Cabo Verde,"tot_alchohol_per_capita (litres, 15+ yrs)",5.6
Cabo Verde,tobacco_use (% of adults),11.7
Cambodia,"tot_alchohol_per_capita (litres, 15+ yrs)",6.64
Cambodia,tobacco_use (% of adults),21.9
Cameroon,"tot_alchohol_per_capita (litres, 15+ yrs)",5.65
Cameroon,tobacco_use (% of adults),7.5
Canada,"tot_alchohol_per_capita (litres, 15+ yrs)",8.94
Canada,tobacco_use (% of adults),13.6
Central African Republic,"tot_alchohol_per_capita (litres, 15+ yrs)",2.38
Central African Republic,tobacco_use (% of adults),..
Chad,"tot_alchohol_per_capita (litres, 15+ yrs)",1.37
Chad,tobacco_use (% of adults),8.5
Chile,"tot_alchohol_per_capita (litres, 15+ yrs)",9.07
Chile,tobacco_use (% of adults),29.9
China,"tot_alchohol_per_capita (litres, 15+ yrs)",7.05
China,tobacco_use (% of adults),25.7
Colombia,"tot_alchohol_per_capita (litres, 15+ yrs)",5.74
Colombia,tobacco_use (% of adults),8.8
Congo,"tot_alchohol_per_capita (litres, 15+ yrs)",9.27
Congo,tobacco_use (% of adults),14.3
Costa Rica,"tot_alchohol_per_capita (litres, 15+ yrs)",4.87
Costa Rica,tobacco_use (% of adults),9.1
