country,system_type
Albania,Universal (medical benefits) and social insurance (cash benefits) system
Algeria,Social insurance system
Andorra,Social insurance system
Angola,"Universal (medical benefits), social insurance (cash maternity benefits), and employer-liability (cash sickness benefit) system"
Antigua and Barbuda,Social insurance system
Argentina,"Universal (medical benefits), social insurance (cash maternity and medical benefits) and employer-liability (cash sickness benefits) system"
Armenia,"Universal (birth or adoption grant and medical benefits), social insurance (cash benefits), and social assistance (maternity benefits) system"
Aruba,Social insurance system
Australia,"Universal (medical benefits), employment-related (parental benefits), and social assistance (cash sickness benefits and birth grants)"
Austria,Social insurance system
Azerbaijan,Universal (medical benefits) and social insurance (cash benefits) system
Bahamas,"Universal (medical benefits), social insurance (cash benefits), and social assistance (medical benefits) system"
Bahrain,Universal (medical benefits) and employer-liability (cash benefits) system
Bangladesh, Employer-liability system
Barbados,Universal (medical benefits) and social insurance (cash benefits) system
Belarus,Universal (medical benefits and prenatal care grant) and social insurance (cash benefits) system
Belgium,Social insurance system
Belize,Social insurance (cash benefits only) system
Benin,Social insurance (cash maternity benefit) and employer-liability (cash sickness and medical benefits) system
Bermuda,"Universal (medical benefits), mandatory health insurance (medical benefits), employer-liability (cash benefits), and social assistance (medical benefits) system"
Bhutan,Universal (medical benefits) and employer-liability (cash benefits) system
Bolivia,"Universal (medical benefits), social insurance (cash and medical benefits), and employer-liability (paternity benefits) system"
Botswana,Universal (medical benefits) and employer-liability (cash benefits) system
Brazil,Universal (medical benefits) and social insurance (cash benefits) system
Brunei Darussalam,"Universal (medical benefits), employment-related (cash maternity benefits), and employer-liability (cash sickness and maternity benefits) system"
Bulgaria,Social insurance system
Burkina Faso,Social insurance system. Maternity benefits only
Burundi,Employer-liability (cash and medical benefits) and social assistance (medical benefits) system
Cabo Verde,Social insurance and community-based social insurance system
Cambodia,"Social insurance (cash sickness and maternity benefits, and medical benefits), employer-liability (cash maternity benefit), and social assistance (cash maternity and medical benefits) system"
Cameroon,"Social insurance (cash maternity, medical, and prenatal benefits) and employer-liability (cash sickness and medical benefits) system"
Canada,Universal system (medical benefits) and social insurance (cash benefits) system
Central African Republic,Social insurance (cash maternity benefit) and employer-liability (cash sickness benefit) system
Chad,"Social insurance (cash maternity benefits) and employer-liability (cash sickness, maternity, and medical benefits) system"
Chile,"Social insurance (cash and medical benefits), mandatory private insurance (cash and medical benefits), and employer-liability (paternity benefit) system"
China,Social insurance (cash and medical benefits) and mandatory individual account (medical benefits) system
Colombia,Social insurance and social assistance system
Congo,"Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and maternity, and medical benefits) system"
Costa Rica,"Social insurance (cash and medical benefits), employer-liability (cash maternity benefits), and social assistance (medical benefits) system"
Côte d'Ivoire,"Social insurance (maternity and medical benefits), employer-liability (sickness benefit), and social assistance (medical benefits) system"
Croatia,Social insurance system
Cuba,Universal (medical benefits) and social insurance (cash and in-kind benefits) system
Cyprus,Social insurance system
Czechia,Social insurance system
Democratic Republic of the Congo,Social insurance (cash maternity benefits) and employer-liability (cash sickness and medical benefits) system
Denmark,Universal (medical benefits) and employment-related (cash benefits) system
Djibouti,"Universal (medical benefits), social insurance (maternity and medical benefits), employer-liability (sickness, maternity and paternity benefits), and social assistance (medical benefits) system"
Dominica,Social insurance system. Cash benefits only
Dominican Republic,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system
Ecuador,Social insurance (cash and medical benefits) and employer-liability (cash maternity benefit) system
Egypt,Social insurance system
El Salvador,Social insurance system
Equatorial Guinea,Social insurance system
Estonia,Social insurance system
Eswatini,Employer-liability system. Cash sickness and maternity benefits only
Ethiopia,Universal (medical benefits) and employer-liability (cash benefits) system
Fiji,Universal (medical benefits) and employer-liability (cash benefits) system
Finland,Social insurance system
France,Social insurance system
Gabon,"Social insurance (cash maternity and medical benefits), employer-liability (cash sickness benefit), and social assistance (cash maternity and medical benefits) system"
Gambia,Employer-liability system (cash sickness and maternity benefits)
Georgia,"Social insurance (cash maternity benefit), employer-liability (cash sickness benefit), and social assistance (medical benefits) system"
Germany,Social insurance system
Ghana,Social insurance (medical benefits) and employer-liability (cash maternity benefit) system. Cash maternity and medical benefits only
Greece,Social insurance system
Grenada,Social insurance and employer-liability system. Cash benefits only
Guatemala,Social insurance system
Guinea,"Social insurance (cash sickness, maternity, and medical benefits) and employer-liability system (cash maternity and medical benefits)"
Guinea-Bissau,Social insurance (cash sickness and medical benefits) and employer-liability (cash maternity benefit) system
Guyana,Universal (medical benefits) and social insurance system
Haiti,Social insurance system. Cash benefits only
Honduras,Social insurance (cash and medical benefits) and employer-liability (cash benefits) system
Hong Kong (China),Employer-liability (cash benefits) and social assistance (cash and medical benefits) system
Hungary,Social insurance system
Iceland,"Universal (medical benefits and cash parental grants), social insurance (cash parental benefits), and employment-related (cash sickness benefits) system"
India,Social insurance and social assistance system
Indonesia,"Social insurance (medical benefits), employer-liability (cash benefits), and social assistance (medical benefits) system"
Iran,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system
Ireland,Universal (medical benefits) and social insurance (cash benefits) system
Isle of Man,"Universal (medical benefits), social insurance, and social assistance system"
Israel,Social insurance system
Italy,"Universal (medical benefits and pregnancy grant), social insurance (cash benefits), employment-related (tuberculosis benefits), employer-liability (paternity leave), and social assistance (birth grant) system"
Jamaica,"Universal (medical benefits), social insurance (cash maternity and medical benefits), and employer-liability (cash benefits) system"
Japan,Social insurance system
Jordan,Social insurance and employer-liability (cash sickness benefits) system
Kazakhstan,"Universal (medical benefits and birth grant), social insurance (cash maternity and child care benefits), and employer-liability (cash sickness benefit) system"
Kenya,Social insurance (medical benefits) and employer-liability (cash benefits) system
Kiribati,Universal (medical benefits) and employer-liability (cash maternity benefits) system
Kuwait,Universal (medical benefits) and employer-liability (cash benefits) system
Kyrgyz Republic,"Universal (medical benefits), social insurance (cash benefits), and social assistance (maternity benefits) system"
Lao People's Democratic Republic,Social insurance system
Latvia,Social insurance system
Lebanon,Social insurance system. Medical benefits only
Lesotho,Universal (medical benefits) and employer-liability (cash benefits) system
Liberia,Employer-liability system. Cash sickness and maternity benefits only
Libya,Social insurance (cash and medical benefits) and employer-liability (cash maternity benefit) system
Liechtenstein,Social insurance (cash benefits) and universal (medical benefits) system
Lithuania,Social insurance system
Luxembourg,Social insurance and employer-liability system
Madagascar,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness) system
Malawi,Employer-liability (cash sickness and maternity benefits) system. Cash benefits only
Malaysia,Provident fund (medical benefits only) and employer-liability (cash benefits) system
Mali,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness benefit) system
Malta,"Universal (cash maternity and medical), social insurance (cash sickness), and employer-liability (cash maternity) system"
Marshall Islands,Social insurance (medical benefits only) system
Mauritania,Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and medical benefits) system
Mauritius,Employer-liability system. Cash benefits only
Mexico,Social insurance and social assistance (medical benefits only) system
Micronesia,Social insurance system
Moldova,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system
Monaco,Social insurance system
Morocco,"Social insurance (cash and medical benefits), employer-liability (parental leave), and social assistance (medical benefits) system"
