country,Daily caloric supply (2018)
Albania,3360
Algeria,3322
Angola,2385
Antigua and Barbuda,2445
Argentina,3307
Armenia,2997
Australia,3391
Austria,3695
Azerbaijan,3149
Bahamas,2655
Bangladesh,2563
Barbados,2956
Belarus,3270
Belgium,3769
Belize,2775
Benin,2755
Bolivia,2412
Botswana,2342
Brazil,3301
Bulgaria,2854
Burkina Faso,2737
Cabo Verde,2541
Cambodia,2492
Cameroon,2733
Canada,3566
Central African Republic,1786
Chad,2115
Chile,3029
China,3206
Colombia,3114
Congo,2285
Costa Rica,3029
Côte d'Ivoire,2778
Croatia,3074
Cuba,3344
Cyprus,3019
Czechia,3277
Denmark,3401
Djibouti,2694
Dominica,2952
Dominican Republic,2892
Ecuador,2606
Egypt,3292
El Salvador,2696
Estonia,3247
Eswatini,2426
Ethiopia,2338
Fiji,2781
Finland,3343
France,3502
Gabon,2633
Gambia,2533
Georgia,2835
Germany,3554
Ghana,3035
Greece,3382
Grenada,2402
Guatemala,2551
Guinea,2746
Guinea-Bissau,2229
Guyana,2913
Haiti,2121
Honduras,2673
Hong Kong (China),3267
Hungary,3316
Iceland,3654
India,2533
Indonesia,2884
Iran,3087
Ireland,3885
Israel,3528
Italy,3503
Jamaica,2792
Japan,2705
Jordan,2732
Kazakhstan,3067
Kenya,2197
Kiribati,3078
Kuwait,3471
Kyrgyz Republic,2729
Lao People's Democratic Republic,2758
Latvia,3229
Lebanon,2857
Lesotho,2323
Liberia,2168
Lithuania,3411
Luxembourg,3465
Madagascar,1938
Malawi,2392
Malaysia,2845
Mali,2873
Malta,3420
Mauritania,2877
Mauritius,3051
Mexico,3157
Moldova,2383
Morocco,3412
Mozambique,2103
Myanmar,2673
Namibia,2469
Nepal,2769
Netherlands,3297
New Zealand,3191
Nicaragua,2582
Niger,2601
Nigeria,2572
North Macedonia,3072
Norway,3371
Oman,2940
Pakistan,2486
Panama,2851
Paraguay,2768
Peru,2775
Philippines,2662
Poland,3537
Portugal,3480
Romania,3581
Russian Federation,3345
Rwanda,2188
Saint Lucia,2618
Saint Vincent and the Grenadines,2968
Samoa,3030
Sao Tome and Principe,2446
Saudi Arabia,3307
Senegal,2545
Serbia,2828
Sierra Leone,2369
Slovakia,2871
Slovenia,3191
Solomon Islands,2415
South Africa,2899
South Korea,3420
Spain,3322
Sri Lanka,2737
Sudan,2578
Suriname,2698
Sweden,3184
Switzerland,3354
Taiwan (China),2983
Tajikistan,2109
Tanzania,2373
Thailand,2804
Togo,2443
Trinidad and Tobago,2991
Tunisia,3450
Turkmenistan,2830
Uganda,1981
Ukraine,3102
United Kingdom,3344
United States of America,3782
Uruguay,3202
Uzbekistan,3011
Vanuatu,2607
Venezuela,2120
Vietnam,3025
Yemen,2154
Zambia,2002
Zimbabwe,1908
