country,govt_he,private_he,govt_he_gdp
Albania,392.53,324.65,2.82
Algeria,487.79,262.32,4.06
Andorra,2582.32,1133.94,4.66
Angola,73.39,98.99,1.04
Antigua and Barbuda,594.02,421.98,2.6
Argentina,1371.24,822.13,5.93
Armenia,200.49,1399.6,1.41
Australia,3795.18,1499.29,7.1
Austria,4478.39,1655.74,7.62
Azerbaijan,192.3,411.81,1.28
Bahamas,1157.54,1058.74,2.99
Bahrain,1113.39,767.19,2.37
Bangladesh,22.96,92.78,0.46
Barbados,461.27,558.42,2.82
Belarus,843.6,353.35,4.13
Belgium,4489.07,1357.83,8.18
Belize,311.42,120.98,4.17
Benin,18.57,43.46,0.54
Bhutan,317.91,84.13,2.65
Bolivia,449.33,174.32,4.93
Botswana,881.15,171.99,4.75
Brazil,610.22,885.41,3.91
Brunei Darussalam,1321.34,79.57,2.04
Bulgaria,1063.33,734.18,4.22
Burkina Faso,51.18,51.89,2.29
Burundi,20.63,25.32,2.67
Cabo Verde,243.12,101.27,3.25
Cambodia,76.82,218.66,1.7
Cameroon,4.57,112.31,0.12
Canada,3873.7,1646.95,7.61
Central African Republic,8.29,48.09,0.82
Chad,12.02,43.2,0.75
Chile,1234.31,1189.84,4.75
China,492.72,387.46,3
Colombia,865.7,338.59,5.54
Congo,30.71,44.16,0.78
Costa Rica,1186.82,449.35,5.28
Côte d'Ivoire,52.22,99.98,0.96
Croatia,1767.7,399.92,5.69
Cuba,2320.95,275.17,10.13
Cyprus,1689.86,1306.3,3.93
Czechia,2833.72,643.3,6.39
Democratic Republic of the Congo,6.42,18.42,0.56
Denmark,5010.26,1005.2,8.29
Djibouti,55.89,26.64,0.97
Dominica,435.35,235.17,3.52
Dominican Republic,511.84,618.65,2.66
Ecuador,577.26,356.29,4.83
Egypt,161.77,414.29,1.32
El Salvador,416.88,235.62,4.55
Equatorial Guinea,129.11,472.78,0.67
Estonia,1947.35,668.93,5.01
Eswatini,309.73,141.32,3.44
Ethiopia,17.05,32.44,0.74
Fiji,356.57,149.42,2.5
Finland,3776.04,933.87,7.34
France,4136.52,1356.01,8.33
Gabon,260.66,169.08,1.67
Gambia,24.17,24.38,1.04
Georgia,395.99,569.08,2.72
Germany,5237.68,1500.97,9.09
Ghana,77.75,93.68,1.38
Greece,1164.06,1251.41,3.77
Grenada,364.03,514.66,2.06
Guatemala,203.31,321.22,2.39
Guinea,26.94,79.74,0.9
Guinea-Bissau,11.89,127.33,0.53
Guyana,400.41,255.02,2.93
Haiti,15.81,69.6,0.52
Honduras,170.63,253.52,2.85
Hungary,1465.64,690.27,4.32
Iceland,4671.95,964.46,7.16
India,69.18,140.06,0.99
Indonesia,175.33,180.96,1.42
Iran,429.78,438.27,3.32
Ireland,4482.19,1527.88,4.98
Israel,2154.73,1102.21,4.83
Italy,2955.3,1042.71,6.41
Jamaica,390.1,198.23,3.98
Japan,3846.54,740.5,9.01
Jordan,408.1,364.36,3.88
Kazakhstan,458.82,306.67,1.67
Kenya,95.46,73.73,2.11
Kiribati,203.27,7.19,8.45
Kuwait,2488.13,373.07,4.78
Kyrgyz Republic,133.88,120.43,2.31
Lao People's Democratic Republic,78.44,88.89,0.96
Latvia,1270.77,822.02,3.98
Lebanon,631.27,646.08,4.24
Lesotho,136.54,44.46,4.91
Liberia,20.28,74.63,1.36
Lithuania,1820.42,966.32,4.56
Luxembourg,5802.13,864.79,4.61
Madagascar,21,25.82,1.19
Malawi,26.63,19.48,2.41
Malaysia,591.38,541.61,2
Mali,31.82,31.1,1.31
Malta,2549.1,1489.86,5.18
Marshall Islands,243.95,93.69,6.73
Mauritania,70.1,94.74,1.24
Mauritius,694.32,777.32,2.92
Mexico,547.78,563.16,2.68
Micronesia,103.19,10.42,3.24
Moldova,513.42,317.57,3.81
