country,2019_LEx
Albania,78.57
Algeria,76.88
Angola,61.15
Antigua and Barbuda,77.02
Argentina,76.67
Armenia,75.09
Aruba,76.29
Australia,82.9
Austria,81.9
Azerbaijan,73.01
Bahamas,73.92
Bahrain,77.29
Bangladesh,72.59
Barbados,79.19
Belarus,74.23
Belgium,82
Belize,74.62
Benin,61.77
Bhutan,71.78
Bolivia,71.51
Botswana,69.59
Brazil,75.88
Brunei Darussalam,75.86
Bulgaria,75.11
Burkina Faso,61.58
Burundi,61.58
Cabo Verde,72.98
Cambodia,69.82
Cameroon,59.29
Canada,82.05
Central African Republic,53.28
Chad,54.24
Chile,80.18
China,76.91
Colombia,77.29
Congo,64.57
Costa Rica,80.28
Côte d'Ivoire,57.78
Croatia,78.42
Cuba,78.8
Cyprus,80.98
Czechia,79.23
Democratic Republic of the Congo,60.68
Denmark,81.45
Djibouti,67.11
Dominican Republic,74.08
Ecuador,77.01
Egypt,71.99
El Salvador,73.32
Equatorial Guinea,58.74
Estonia,78.65
Eswatini,60.19
Ethiopia,66.6
Fiji,67.44
Finland,81.98
France,82.83
Gabon,66.47
Gambia,62.05
Georgia,73.77
Germany,81.29
Ghana,64.07
Greece,81.64
Grenada,72.4
Guatemala,74.3
Guinea,61.6
Guinea-Bissau,58.32
Guyana,69.91
Haiti,64
Honduras,75.27
Hungary,76.32
Iceland,83.16
India,69.66
Indonesia,71.72
Iran,76.68
Ireland,82.7
Israel,82.8
Italy,83.5
Jamaica,74.48
Japan,84.36
Jordan,74.53
Kazakhstan,73.18
Kenya,66.7
Kiribati,68.37
Kuwait,75.49
Kyrgyz Republic,71.6
Lao People's Democratic Republic,67.92
Latvia,75.39
Lebanon,78.93
Lesotho,54.33
Liberia,64.1
Libya,72.91
Lithuania,76.28
Luxembourg,82.64
Madagascar,67.04
Malawi,64.26
Malaysia,76.16
Mali,59.31
Malta,82.86
Mauritania,64.93
Mauritius,74.24
Mexico,75.05
Micronesia,67.88
Moldova,71.9
Morocco,76.68
Mozambique,60.85
Myanmar,67.13
Namibia,63.71
Nepal,70.78
Netherlands,82.11
New Zealand,81.71
Nicaragua,74.49
Niger,62.42
Nigeria,54.69
North Macedonia,76.6
Norway,82.96
Oman,77.86
Pakistan,67.27
Panama,78.51
Papua New Guinea,64.5
Paraguay,74.25
Peru,76.74
Philippines,71.23
Poland,77.9
Portugal,81.68
Qatar,80.23
Romania,75.61
Russian Federation,73.08
Rwanda,69.02
Saint Lucia,76.2
Saint Vincent and the Grenadines,72.53
Samoa,73.32
Sao Tome and Principe,70.39
Saudi Arabia,75.13
Senegal,67.94
Serbia,75.94
Sierra Leone,54.7
Singapore,83.6
Slovakia,77.67
Slovenia,81.53
Solomon Islands,73
South Africa,64.13
South Korea,83.23
Spain,83.83
Sri Lanka,76.98
Sudan,65.31
Suriname,71.68
Sweden,83.11
Switzerland,83.9
Syrian Arab Republic,72.7
Tajikistan,71.1
Tanzania,65.46
Thailand,77.15
Togo,61.04
Trinidad and Tobago,73.51
Tunisia,76.7
Türkiye,77.69
Turkmenistan,68.19
Uganda,63.37
Ukraine,71.83
United Kingdom,81.2
United States of America,78.79
Uruguay,77.91
Uzbekistan,71.73
Vanuatu,70.47
Venezuela,72.06
Vietnam,75.4
Yemen,66.13
Zambia,63.89
Zimbabwe,61.49
