country,Population (M) 2022
Albania,2.9
Algeria,45.4
Angola,35
Antigua and Barbuda,0.1
Argentina,46
Armenia,3
Aruba,0.1
Australia,26.1
Austria,9.1
Azerbaijan,10.3
Bahamas,0.4
Bahrain,1.8
Bangladesh,167.9
Barbados,0.3
Belarus,9.4
Belgium,11.7
Belize,0.4
Benin,12.8
Bhutan,0.8
Bolivia,12
Botswana,2.4
Brazil,215.4
Brunei Darussalam,0.4
Bulgaria,6.8
Burkina Faso,22.1
Burundi,12.6
Cabo Verde,0.6
Cambodia,17.2
Cameroon,27.9
Canada,38.4
Central African Republic,5
Chad,17.4
Chile,19.3
China,1448.5
Colombia,51.5
Congo,5.8
Costa Rica,5.2
Côte d'Ivoire,27.7
Croatia,4.1
Cuba,11.3
Cyprus,1.2
Czechia,10.7
Democratic Republic of the Congo,95.2
Denmark,5.8
Djibouti,1
Dominica,0.1
Dominican Republic,11.1
Ecuador,18.1
Egypt,106.2
El Salvador,6.6
Equatorial Guinea,1.5
Estonia,1.3
Eswatini,1.2
Ethiopia,120.8
Fiji,0.9
Finland,5.6
France,65.6
Gabon,2.3
Gambia,2.6
Georgia,4
Germany,83.9
Ghana,32.4
Greece,10.3
Grenada,0.1
Guatemala,18.6
Guinea,13.9
Guinea-Bissau,2.1
Guyana,0.8
Haiti,11.7
Honduras,10.2
Hong Kong (China),7.6
Hungary,9.6
Iceland,0.3
India,1406.6
Indonesia,279.1
Iran,86
Ireland,5
Israel,8.9
Italy,60.3
Jamaica,3
Japan,125.6
Jordan,10.3
Kazakhstan,19.2
Kenya,56.2
Kiribati,0.1
Kuwait,4.4
Kyrgyz Republic,6.7
Lao People's Democratic Republic,7.5
Latvia,1.8
Lebanon,6.7
Lesotho,2.2
Liberia,5.3
Libya,7
Lithuania,2.7
Luxembourg,0.6
Madagascar,29.2
Malawi,20.2
Malaysia,33.2
Mali,21.5
Malta,0.4
Mauritania,4.9
Mauritius,1.3
Mexico,131.6
Micronesia,0.1
Moldova,4
Morocco,37.8
Mozambique,33.1
Myanmar,55.2
Namibia,2.6
Nepal,30.2
Netherlands,17.2
New Zealand,4.9
Nicaragua,6.8
Niger,26.1
Nigeria,216.7
North Macedonia,2.1
Norway,5.5
Oman,5.3
Pakistan,229.5
Panama,4.4
Papua New Guinea,9.3
Paraguay,7.3
Peru,33.7
Philippines,112.5
Poland,37.7
Portugal,10.1
Qatar,3
Romania,19
Russian Federation,145.8
Rwanda,13.6
Saint Lucia,0.2
Saint Vincent and the Grenadines,0.1
Samoa,0.2
San Marino,0
Sao Tome and Principe,0.2
Saudi Arabia,35.8
Senegal,17.7
Serbia,8.7
Seychelles,0.1
Sierra Leone,8.3
Singapore,5.9
Slovakia,5.5
Slovenia,2.1
Solomon Islands,0.7
South Africa,60.8
South Korea,51.3
Spain,46.7
Sri Lanka,21.6
Sudan,46
Suriname,0.6
Sweden,10.2
Switzerland,8.8
Syrian Arab Republic,19.4
Tajikistan,10
Tanzania,63.3
Thailand,70.1
Togo,8.7
Trinidad and Tobago,1.4
Tunisia,12
Türkiye,85.6
Turkmenistan,6.2
Uganda,48.4
Ukraine,43.2
United Kingdom,68.5
United States of America,334.8
Uruguay,3.5
Uzbekistan,34.4
Venezuela,29.3
Vietnam,99
Yemen,31.2
Zambia,19.5
Zimbabwe,15.3
