Country Name,GDP per capita
Albania,6492.87
Algeria,3690.63
Andorra,42137.33
Angola,1953.53
Antigua and Barbuda,15781.4
Argentina,10636.12
Armenia,4966.51
Aruba,29342.1
Australia,60443.11
Austria,53637.71
Azerbaijan,5388.0
Bahamas,27478.39
Bahrain,26562.97
Bangladesh,2457.92
Barbados,17225.46
Belarus,7302.26
Belgium,51247.01
Belize,6228.27
Benin,1319.15
Bermuda,114090.33
Bhutan,3266.36
Bolivia,3345.2
Botswana,6805.22
Brazil,7507.16
Brunei Darussalam,31449.08
Bulgaria,12221.5
Burkina Faso,893.08
Burundi,221.48
Cabo Verde,3293.23
Cambodia,1625.24
Cameroon,1666.93
Canada,51987.94
Central African Republic,461.14
Chad,685.69
Chile,16265.1
China,12556.33
Colombia,6104.14
Congo,2290.38
Costa Rica,12472.44
Côte d'Ivoire,2549.04
Croatia,17685.33
Cuba,9499.59
Cyprus,31551.82
Czechia,26821.25
Democratic Republic of the Congo,577.21
Denmark,68007.76
Djibouti,3150.44
Dominica,7653.17
Dominican Republic,8476.75
Ecuador,5965.13
Egypt,3698.83
El Salvador,4551.18
Equatorial Guinea,7506.67
Estonia,27943.7
Eswatini,3978.4
Ethiopia,925.08
Fiji,4646.61
Finland,53654.75
France,43658.98
Gabon,8635.33
Gambia,772.15
Georgia,5023.27
Germany,51203.55
Ghana,2363.3
Greece,20192.6
Grenada,9010.57
Guatemala,5025.54
Guinea,1189.18
Guinea-Bissau,795.12
Guyana,9998.54
Haiti,1829.59
Honduras,2771.72
Hong Kong (China),49800.54
Hungary,18728.12
Iceland,68727.64
India,2256.59
Indonesia,4332.71
Iran,4091.21
Ireland,100172.08
Isle of Man,87157.47
Israel,52170.71
Italy,35657.5
Jamaica,5183.58
Japan,39312.66
Jordan,4103.26
Kazakhstan,10373.79
Kenya,2081.8
Kiribati,1606.46
South Korea,34997.78
Kuwait,24300.33
Kyrgyz Republic,1276.7
Lao People's Democratic Republic,2535.62
Latvia,21148.16
Lebanon,4136.15
Lesotho,1094.1
Liberia,675.66
Libya,6357.2
Liechtenstein,157754.95
Lithuania,23723.34
Luxembourg,133590.15
Madagascar,500.51
Malawi,634.84
Malaysia,11109.26
Mali,873.79
Malta,33486.67
Marshall Islands,6172.15
Mauritania,2166.05
Mauritius,9106.24
Mexico,10045.68
Micronesia,3571.34
Moldova,5230.66
Monaco,234315.46
Morocco,3795.38
Mozambique,491.84
Myanmar,1209.93
Namibia,4865.56
Nepal,1208.22
Netherlands,57767.88
New Zealand,48781.03
Nicaragua,2045.54
Niger,590.63
Nigeria,2065.75
North Macedonia,6694.64
Norway,89154.28
Oman,19509.47
Pakistan,1505.01
Palau,12083.89
Panama,14617.6
Papua New Guinea,2672.95
Paraguay,5891.5
Peru,6621.57
Philippines,3460.53
Poland,17999.91
Portugal,24567.51
Qatar,66838.36
Romania,14858.23
Russian Federation,12194.78
Rwanda,822.35
Samoa,3857.32
San Marino,45320.21
Sao Tome and Principe,2360.54
Saudi Arabia,23185.87
Senegal,1636.89
Serbia,9230.18
Seychelles,14653.31
Sierra Leone,480.04
Singapore,72794.0
Slovakia,21391.93
Slovenia,29291.4
Solomon Islands,2304.84
South Africa,7055.04
Spain,30103.51
Sri Lanka,4013.69
Saint Lucia,9414.23
Saint Vincent and the Grenadines,8666.39
Sudan,751.82
Suriname,4869.13
Sweden,61028.74
Switzerland,91991.6
Syrian Arab Republic,533.39
Tajikistan,897.05
Tanzania,1099.29
Thailand,7066.19
Togo,973.21
Trinidad and Tobago,16032.5
Tunisia,3807.14
Türkiye,9661.24
Turkmenistan,7344.65
Uganda,883.89
Ukraine,4835.57
United Kingdom,46510.28
United States of America,70248.63
Uruguay,17313.19
Uzbekistan,1983.06
Vanuatu,2996.62
Vietnam,3756.49
Yemen,701.71
Zambia,1137.34
Zimbabwe,1773.92
