Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Albania,ALB,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,105.45683015,115.79791813,117.76588832,130.02815698,149.13845619,152.51464184,163.97295711,173.45013444,183.44113787,203.04805242,226.49686904,239.54058277,257.22624455,271.67704769,291.29813267,317.36424827,337.44137858,341.45184446,392.525445,..
Algeria,DZA,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,212.07861571,256.71512437,260.96575814,276.71244802,267.82745359,255.67743367,270.49491989,328.32019535,382.47594812,483.31790138,465.61134944,502.18516017,582.17243862,559.91471606,613.04460717,590.80915277,519.89179164,486.09414179,483.97236633,487.79007158
Angola,AGO,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,36.49499352,69.25862883,49.53349982,56.26124531,71.26813216,61.86261864,77.43399361,104.19076141,141.29269178,168.26714404,110.28919692,114.96976639,115.88952935,130.23081672,107.81622064,90.56326914,85.06374217,94.44721261,79.31635599,73.38913751
Antigua and Barbuda,ATG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,459.33274658,519.56480367,505.84784763,583.79597971,555.83387285,562.68446135,568.5311164,584.5206527,547.7369992,514.3777264,646.46941313,630.72901635,604.52128643,580.75084928,661.41279362,596.97134245,569.82476733,543.25811199,630.27417315,594.02312913
Argentina,ARG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,584.44076753,576.41916746,453.3407089,464.98979879,457.36654978,530.99987035,600.90807963,705.0399702,784.67053302,926.15151566,1003.11166466,1096.16143334,1204.33581495,1252.48035112,1246.38711281,1373.85511547,1137.58851597,1561.07420607,1388.02205084,1371.23960714
Armenia,ARM,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,25.378782,40.1177775,40.59237602,48.78103424,59.72160283,80.6535648,101.7174007,121.87517092,123.52230082,131.04040726,126.57801723,134.25514215,147.78601857,135.30723399,151.10305118,160.53269939,175.26524743,166.28089112,160.81513488,200.4881763
Aruba,ABW,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,1548.31808916,1620.79584694,1753.99791767,1827.47826105,1974.03332791,2041.54331468,2158.83819963,2319.05702021,2384.91932151,2594.64291796,2595.67523506,2755.14382018,2691.58271103,2820.14682641,2891.69755398,3005.8867822,3174.66298745,3239.34243576,3354.05931284,3795.17767759
Austria,AUT,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,2008.36678428,2033.93633949,2156.01071178,2248.07327319,2369.41647878,2456.83294291,2616.09217615,2737.00478367,2969.8051356,3053.35026026,3115.27376352,3246.04428976,3461.92849673,3569.08466824,3685.70805241,3771.06166621,3962.90475386,4044.72473901,4281.48612014,4478.38953256
Azerbaijan,AZE,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,29.57089593,29.99562048,30.70094884,36.18363621,44.57167463,61.80292832,79.92722393,106.66563893,113.2654828,161.53108519,151.24047606,140.74533432,178.31110168,183.34089193,197.37303719,195.1281592,167.56539086,141.6239015,135.04438148,192.29627814
