Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Albania,ALB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,166.58788586,173.48816143,187.68117431,185.78119589,188.58761338,190.44495179,197.69107101,251.81706984,220.29752293,188.35808078,214.0290951,240.67417099,266.93737441,288.86871443,322.36059624,246.26999049,247.13878313,285.19760987,324.65423994,..
Algeria,DZA,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,82.47088773,79.90608626,85.54622544,83.90602634,107.34980322,113.02119998,124.39667403,141.82427089,148.57969768,198.173757,204.31613926,208.80964205,215.83995216,228.0057708,238.00512326,247.47621382,248.03019994,250.72991649,250.82006046,262.32367216
Angola,AGO,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,25.87883134,80.31751213,74.88175398,78.52273508,93.13027094,71.92670742,58.13172705,70.92313443,72.79698965,70.85883016,61.49945441,57.49053379,57.84308011,74.33077699,84.96677912,95.53302046,100.63916539,103.27976481,102.90351808,98.99264263
Antigua and Barbuda,ATG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,331.95737447,359.23960118,358.58074161,390.68127599,401.53944083,447.35788639,503.58879754,552.55337011,529.22340244,422.39226125,460.67365646,476.22674014,469.3191293,452.35221671,456.59794761,401.51450378,450.31571646,423.82488913,417.8635952,421.97531961
Argentina,ARG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,483.06081072,472.33315661,361.27333656,381.9710015,370.05877731,489.47246339,537.72595563,590.16739732,626.26845162,614.01396447,693.06915808,710.50068136,714.80790968,708.13492678,648.65109808,679.62783381,688.29533875,898.32060897,865.53487858,822.12867475
Armenia,ARM,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,71.90397141,73.99597433,202.2245765,226.34808074,204.46745671,201.80052646,229.96610215,242.59695662,395.1550516,451.66888866,540.80869489,594.50173779,682.28449245,859.04656425,854.85240635,837.23970984,870.0837985,1073.01718958,1126.5186655,1399.60423998
Aruba,ABW,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,607.02342194,658.5326479,684.22027708,734.12277453,779.64642439,800.34811126,853.50889094,861.82068449,912.35984629,959.14922539,991.62839502,1005.61598541,1086.89102729,1341.47345942,1391.44457313,1386.18740626,1457.65360118,1476.48460582,1522.22196705,1499.28918488
Austria,AUT,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,699.66247843,727.86469458,779.80800273,825.657313,918.92999517,924.82672756,974.96798167,1022.66815398,1054.99744322,1138.1228345,1187.84570792,1219.61507646,1288.65290744,1376.36507425,1396.82900372,1433.56046713,1513.77155005,1596.4466601,1616.86685918,1655.74054995
Azerbaijan,AZE,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,69.01441504,73.32939994,82.57935626,87.47614466,90.4053251,89.07981566,107.55221474,123.39403964,137.71882746,207.36482826,215.79970206,217.46831641,287.80430659,336.25968155,387.5144142,414.91946665,410.87069956,382.94960432,378.68467692,411.80836366
"Bahamas, The",BHS,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,630.32949879,668.31741335,670.04427204,687.75916243,712.47330376,749.21291501,840.17506166,873.19968336,879.84212007,842.73791453,878.29723229,909.68956273,958.37284168,959.18459531,1006.55169129,961.93495877,975.15791549,1059.78130201,1113.63559391,1058.73718606
Bahrain,BHR,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,510.31900631,525.24905077,537.93413321,642.21812126,537.55746382,466.85632862,439.43287623,541.43230578,533.38700485,680.92780566,667.03162879,634.85508377,721.09905435,772.51755072,786.7608008,798.11920915,840.71319185,950.84273959,807.82975702,767.18869067
Bangladesh,BGD,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,17.90158768,19.85733663,21.57236504,22.96426006,24.98840826,29.08059061,32.43190615,36.43165425,38.51950165,41.43438883,45.63435509,50.83955635,56.6500083,59.19357226,64.75092626,69.76833916,72.10686695,77.4387695,87.27362606,92.78242633
Barbados,BRB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,326.14984296,325.98922929,335.43570488,374.65114489,399.87879376,417.39342067,447.31780976,443.8829815,462.93441516,491.10593565,483.48541998,545.54043297,527.49592838,545.15966509,539.58706513,536.3889038,544.91624785,550.35473835,569.40310711,558.41692574
