Albania,35,..,..,..,..,31.3,..,..,..,..,28,..,..,..,..,25.1,..,..,23,23
Algeria,22.2,..,..,..,..,21.8,..,..,..,..,21.5,..,..,..,..,21.1,..,..,21,21
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,34,..,..,..,..,31.5,..,..,..,..,28.9,..,..,..,..,26.6,..,..,24.9,24.9
Armenia,32,..,..,..,..,30.3,..,..,..,..,28.6,..,..,..,..,26.9,..,..,25.8,25.8
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,24.4,..,..,..,..,21.1,..,..,..,..,18.2,..,..,..,..,15.7,..,..,14,14
Austria,52.3,..,..,..,..,43.8,..,..,..,..,37.1,..,..,..,..,31.2,..,..,27.1,27.1
Azerbaijan,28.7,..,..,..,..,27.6,..,..,..,..,26.2,..,..,..,..,25.2,..,..,24.2,24.2
"Bahamas, The",10.7,..,..,..,..,10.7,..,..,..,..,10.7,..,..,..,..,10.6,..,..,10.7,10.7
Bahrain,22.2,..,..,..,..,20,..,..,..,..,18.1,..,..,..,..,16.4,..,..,15.2,15.2
Bangladesh,57.6,..,..,..,..,50.3,..,..,..,..,44,..,..,..,..,38.9,..,..,35.2,35.2
Barbados,10.2,..,..,..,..,9.7,..,..,..,..,9.2,..,..,..,..,8.8,..,..,8.5,8.5
Belarus,41.8,..,..,..,..,38.8,..,..,..,..,35.8,..,..,..,..,33,..,..,30.9,30.9
Belgium,33.4,..,..,..,..,30.5,..,..,..,..,28,..,..,..,..,25.7,..,..,23.9,23.9
Belize,15,..,..,..,..,13,..,..,..,..,11.3,..,..,..,..,9.7,..,..,8.8,8.8
Benin,16.7,..,..,..,..,13.4,..,..,..,..,10.7,..,..,..,..,8.6,..,..,7.2,7.2
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,32.1,..,..,..,..,24.9,..,..,..,..,19.5,..,..,..,..,15.6,..,..,13.2,13.2
Botswana,33.2,..,..,..,..,28.5,..,..,..,..,24.8,..,..,..,..,21.7,..,..,19.8,19.8
Brazil,23.8,..,..,..,..,20.4,..,..,..,..,17.4,..,..,..,..,14.9,..,..,13.2,13.2
Brunei Darussalam,16.7,..,..,..,..,16.5,..,..,..,..,16.4,..,..,..,..,16.3,..,..,16.2,16.2
Bulgaria,47.5,..,..,..,..,45,..,..,..,..,42.9,..,..,..,..,40.7,..,..,39.4,39.4
Burkina Faso,29.8,..,..,..,..,24.7,..,..,..,..,20.5,..,..,..,..,17,..,..,14.9,14.9
Burundi,24,..,..,..,..,19.8,..,..,..,..,16.6,..,..,..,..,13.9,..,..,12.2,12.2
Cabo Verde,20.6,..,..,..,..,17.8,..,..,..,..,15.2,..,..,..,..,13.1,..,..,11.7,11.7
Cambodia,42.3,..,..,..,..,36,..,..,..,..,30.1,..,..,..,..,25.2,..,..,21.9,21.9
Cameroon,12.8,..,..,..,..,11.2,..,..,..,..,9.7,..,..,..,..,8.4,..,..,7.5,7.5
Canada,28.4,..,..,..,..,23.3,..,..,..,..,19.3,..,..,..,..,15.8,..,..,13.6,13.6
Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,13.9,..,..,..,..,12.2,..,..,..,..,10.7,..,..,..,..,9.4,..,..,8.5,8.5
Chile,46.9,..,..,..,..,41.7,..,..,..,..,37.1,..,..,..,..,32.9,..,..,29.9,29.9
China,26.7,..,..,..,..,26.6,..,..,..,..,26.2,..,..,..,..,25.9,..,..,25.7,25.7
Colombia,15.1,..,..,..,..,13.2,..,..,..,..,11.4,..,..,..,..,9.9,..,..,8.8,8.8
"Congo, Dem. Rep.",18.8,..,..,..,..,16.9,..,..,..,..,15.4,..,..,..,..,14,..,..,13,13
"Congo, Rep.",11.9,..,..,..,..,12.2,..,..,..,..,12.8,..,..,..,..,13.5,..,..,14.3,14.3
Costa Rica,18,..,..,..,..,15,..,..,..,..,12.6,..,..,..,..,10.5,..,..,9.1,9.1
Cote d'Ivoire,18.7,..,..,..,..,15.8,..,..,..,..,13.2,..,..,..,..,11.1,..,..,9.7,9.7
Croatia,34.4,..,..,..,..,34.9,..,..,..,..,35.4,..,..,..,..,36.1,..,..,36.7,36.7
Cuba,40.8,..,..,..,..,33.2,..,..,..,..,27,..,..,..,..,22,..,..,18.7,18.7
Cyprus,40.9,..,..,..,..,39.2,..,..,..,..,37.7,..,..,..,..,36.4,..,..,35.5,35.5
Czechia,34.2,..,..,..,..,33.4,..,..,..,..,32.3,..,..,..,..,31.4,..,..,30.9,30.9
Denmark,37.3,..,..,..,..,30.8,..,..,..,..,25.5,..,..,..,..,21.1,..,..,18.1,18.1
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,18.7,..,..,..,..,16.1,..,..,..,..,13.9,..,..,..,..,12.2,..,..,10.9,10.9
Ecuador,18.4,..,..,..,..,16.2,..,..,..,..,14.5,..,..,..,..,12.8,..,..,11.6,11.6
"Egypt, Arab Rep.",24.3,..,..,..,..,24.1,..,..,..,..,24.3,..,..,..,..,24.3,..,..,24.4,24.4
El Salvador,15.9,..,..,..,..,13.4,..,..,..,..,11.3,..,..,..,..,9.5,..,..,8.3,8.3
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,46,..,..,..,..,41.6,..,..,..,..,37.2,..,..,..,..,33.3,..,..,30.5,30.5
Eswatini,12.3,..,..,..,..,11.4,..,..,..,..,10.5,..,..,..,..,9.8,..,..,9.3,9.3
Ethiopia,6.8,..,..,..,..,6.3,..,..,..,..,5.9,..,..,..,..,5.5,..,..,5.2,5.2
Fiji,32.3,..,..,..,..,29.7,..,..,..,..,27.4,..,..,..,..,25.1,..,..,23.4,23.4
Finland,35.7,..,..,..,..,31.4,..,..,..,..,27.8,..,..,..,..,24.5,..,..,22.2,22.2
France,34.2,..,..,..,..,34.1,..,..,..,..,33.8,..,..,..,..,33.7,..,..,33.6,33.6
Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",22.5,..,..,..,..,18.8,..,..,..,..,15.8,..,..,..,..,13.3,..,..,11.6,11.6
