country,profile_url
Albania,https://ww1.issa.int/node/195543?country=786
Algeria,https://ww1.issa.int/node/195543?country=787
Andorra,https://ww1.issa.int/node/195543?country=789
Angola,https://ww1.issa.int/node/195543?country=790
Antigua and Barbuda,https://ww1.issa.int/node/195543?country=792
Argentina,https://ww1.issa.int/node/195543?country=793
Armenia,https://ww1.issa.int/node/195543?country=794
Aruba,https://ww1.issa.int/node/195543?country=795
Australia,https://ww1.issa.int/node/195543?country=796
Austria,https://ww1.issa.int/node/195543?country=797
Azerbaijan,https://ww1.issa.int/node/195543?country=798
Bahamas,https://ww1.issa.int/node/195543?country=800
Bahrain,https://ww1.issa.int/node/195543?country=801
Bangladesh,https://ww1.issa.int/node/195543?country=802
Barbados,https://ww1.issa.int/node/195543?country=803
Belarus,https://ww1.issa.int/node/195543?country=804
Belgium,https://ww1.issa.int/node/195543?country=805
Belize,https://ww1.issa.int/node/195543?country=806
Benin,https://ww1.issa.int/node/195543?country=807
Bermuda,https://ww1.issa.int/node/195543?country=808
Bhutan,https://ww1.issa.int/node/195543?country=809
Bolivia,https://ww1.issa.int/node/195543?country=810
Botswana,https://ww1.issa.int/node/195543?country=812
Brazil,https://ww1.issa.int/node/195543?country=813
British Virgin Islands,https://ww1.issa.int/node/195543?country=814
Brunei Darussalam,https://ww1.issa.int/node/195543?country=815
Bulgaria,https://ww1.issa.int/node/195543?country=816
Burkina Faso,https://ww1.issa.int/node/195543?country=817
Burundi,https://ww1.issa.int/node/195543?country=818
Cabo Verde,https://ww1.issa.int/node/195543?country=819
Cambodia,https://ww1.issa.int/node/195543?country=820
Cameroon,https://ww1.issa.int/node/195543?country=821
Canada,https://ww1.issa.int/node/195543?country=822
Central African Republic,https://ww1.issa.int/node/195543?country=824
Chad,https://ww1.issa.int/node/195543?country=825
Chile,https://ww1.issa.int/node/195543?country=826
China,https://ww1.issa.int/node/195543?country=827
Colombia,https://ww1.issa.int/node/195543?country=828
Congo,https://ww1.issa.int/node/195543?country=830
Costa Rica,https://ww1.issa.int/node/195543?country=833
Côte d'Ivoire,https://ww1.issa.int/node/195543?country=834
Croatia,https://ww1.issa.int/node/195543?country=835
Cuba,https://ww1.issa.int/node/195543?country=837
Cyprus,https://ww1.issa.int/node/195543?country=838
Czechia,https://ww1.issa.int/node/195543?country=839
Democratic Republic of the Congo,https://ww1.issa.int/node/195543?country=831
Denmark,https://ww1.issa.int/node/195543?country=840
Djibouti,https://ww1.issa.int/node/195543?country=841
Dominica,https://ww1.issa.int/node/195543?country=842
Dominican Republic,https://ww1.issa.int/node/195543?country=843
Ecuador,https://ww1.issa.int/node/195543?country=844
Egypt,https://ww1.issa.int/node/195543?country=845
El Salvador,https://ww1.issa.int/node/195543?country=846
Equatorial Guinea,https://ww1.issa.int/node/195543?country=847
Estonia,https://ww1.issa.int/node/195543?country=849
Eswatini,https://ww1.issa.int/node/195543?country=981
Ethiopia,https://ww1.issa.int/node/195543?country=850
Fiji,https://ww1.issa.int/node/195543?country=852
Finland,https://ww1.issa.int/node/195543?country=853
France,https://ww1.issa.int/node/195543?country=854
Gabon,https://ww1.issa.int/node/195543?country=857
Gambia,https://ww1.issa.int/node/195543?country=858
Georgia,https://ww1.issa.int/node/195543?country=859
Germany,https://ww1.issa.int/node/195543?country=860
Ghana,https://ww1.issa.int/node/195543?country=861
Greece,https://ww1.issa.int/node/195543?country=863
Grenada,https://ww1.issa.int/node/195543?country=864
Guatemala,https://ww1.issa.int/node/195543?country=867
Guinea,https://ww1.issa.int/node/195543?country=869
Guinea-Bissau,https://ww1.issa.int/node/195543?country=870
Guyana,https://ww1.issa.int/node/195543?country=871
Haiti,https://ww1.issa.int/node/195543?country=872
Honduras,https://ww1.issa.int/node/195543?country=873
Hong Kong (China),https://ww1.issa.int/node/195543?country=874
Hungary,https://ww1.issa.int/node/195543?country=875
Iceland,https://ww1.issa.int/node/195543?country=876
India,https://ww1.issa.int/node/195543?country=877
Indonesia,https://ww1.issa.int/node/195543?country=878
Iran,https://ww1.issa.int/node/195543?country=879
Ireland,https://ww1.issa.int/node/195543?country=881
Isle of Man,https://ww1.issa.int/node/195543?country=882
Israel,https://ww1.issa.int/node/195543?country=883
Italy,https://ww1.issa.int/node/195543?country=884
Jamaica,https://ww1.issa.int/node/195543?country=885
Japan,https://ww1.issa.int/node/195543?country=886
Jersey,https://ww1.issa.int/node/195543?country=887
Jordan,https://ww1.issa.int/node/195543?country=888
Kazakhstan,https://ww1.issa.int/node/195543?country=889
Kenya,https://ww1.issa.int/node/195543?country=890
Kiribati,https://ww1.issa.int/node/195543?country=891
Kuwait,https://ww1.issa.int/node/195543?country=895
Kyrgyz Republic,https://ww1.issa.int/node/195543?country=896
Lao People's Democratic Republic,https://ww1.issa.int/node/195543?country=897
Latvia,https://ww1.issa.int/node/195543?country=898
Lebanon,https://ww1.issa.int/node/195543?country=899
Lesotho,https://ww1.issa.int/node/195543?country=900
Liberia,https://ww1.issa.int/node/195543?country=901
Libya,https://ww1.issa.int/node/195543?country=902
Liechtenstein,https://ww1.issa.int/node/195543?country=903
Lithuania,https://ww1.issa.int/node/195543?country=904
Luxembourg,https://ww1.issa.int/node/195543?country=905
Madagascar,https://ww1.issa.int/node/195543?country=908
Malawi,https://ww1.issa.int/node/195543?country=909
Malaysia,https://ww1.issa.int/node/195543?country=910
Mali,https://ww1.issa.int/node/195543?country=912
Malta,https://ww1.issa.int/node/195543?country=913
Marshall Islands,https://ww1.issa.int/node/195543?country=914
Mauritania,https://ww1.issa.int/node/195543?country=916
Mauritius,https://ww1.issa.int/node/195543?country=917
Mexico,https://ww1.issa.int/node/195543?country=918
Micronesia,https://ww1.issa.int/node/195543?country=919
Moldova,https://ww1.issa.int/node/195543?country=920
Monaco,https://ww1.issa.int/node/195543?country=921
Morocco,https://ww1.issa.int/node/195543?country=925
Mozambique,https://ww1.issa.int/node/195543?country=926
Myanmar,https://ww1.issa.int/node/195543?country=927
Namibia,https://ww1.issa.int/node/195543?country=928
Nepal,https://ww1.issa.int/node/195543?country=930
Netherlands,https://ww1.issa.int/node/195543?country=931
New Zealand,https://ww1.issa.int/node/195543?country=933
Nicaragua,https://ww1.issa.int/node/195543?country=934
Niger,https://ww1.issa.int/node/195543?country=935
Nigeria,https://ww1.issa.int/node/195543?country=936
North Macedonia,https://ww1.issa.int/node/195545?country=907
Norway,https://ww1.issa.int/node/195543?country=938
Oman,https://ww1.issa.int/node/195543?country=939
Pakistan,https://ww1.issa.int/node/195543?country=941
Palau,https://ww1.issa.int/node/195543?country=942
Panama,https://ww1.issa.int/node/195543?country=944
Papua New Guinea,https://ww1.issa.int/node/195543?country=945
Paraguay,https://ww1.issa.int/node/195543?country=946
Peru,https://ww1.issa.int/node/195543?country=947
Philippines,https://ww1.issa.int/node/195543?country=948
Poland,https://ww1.issa.int/node/195543?country=949
Portugal,https://ww1.issa.int/node/195543?country=950
Qatar,https://ww1.issa.int/node/195543?country=952
Romania,https://ww1.issa.int/node/195543?country=954
Russian Federation,https://ww1.issa.int/node/195543?country=955
Rwanda,https://ww1.issa.int/node/195543?country=956
Saint Kitts and Nevis,https://ww1.issa.int/node/195543?country=957
Saint Lucia,https://ww1.issa.int/node/195543?country=958
Saint Vincent and the Grenadines,https://ww1.issa.int/node/195543?country=959
Samoa,https://ww1.issa.int/node/195543?country=960
San Marino,https://ww1.issa.int/node/195543?country=961
Sao Tome and Principe,https://ww1.issa.int/node/195543?country=962
Saudi Arabia,https://ww1.issa.int/node/195543?country=963
Senegal,https://ww1.issa.int/node/195543?country=964
Serbia,https://ww1.issa.int/node/195543?country=965
Seychelles,https://ww1.issa.int/node/195543?country=966
Sierra Leone,https://ww1.issa.int/node/195543?country=967
Singapore,https://ww1.issa.int/node/195543?country=968
Slovakia,https://ww1.issa.int/node/195543?country=970
Slovenia,https://ww1.issa.int/node/195543?country=971
Solomon Islands,https://ww1.issa.int/node/195543?country=972
South Africa,https://ww1.issa.int/node/195543?country=974
South Korea,https://ww1.issa.int/node/195543?country=893
Spain,https://ww1.issa.int/node/195543?country=976
Sri Lanka,https://ww1.issa.int/node/195543?country=977
Sudan,https://ww1.issa.int/node/195543?country=24774
Suriname,https://ww1.issa.int/node/195543?country=980
Sweden,https://ww1.issa.int/node/195543?country=982
Switzerland,https://ww1.issa.int/node/195543?country=983
Syrian Arab Republic,https://ww1.issa.int/node/195543?country=984
Taiwan (China),https://ww1.issa.int/node/195543?country=985
