country,country_code,profile_url
Albania,ALB,https://ww1.issa.int/node/195543?country=786
Algeria,DZA,https://ww1.issa.int/node/195543?country=787
Andorra,AND,https://ww1.issa.int/node/195543?country=789
Angola,AGO,https://ww1.issa.int/node/195543?country=790
Antigua and Barbuda,ATG,https://ww1.issa.int/node/195543?country=792
Argentina,ARG,https://ww1.issa.int/node/195543?country=793
Armenia,ARM,https://ww1.issa.int/node/195543?country=794
Aruba,ABW,https://ww1.issa.int/node/195543?country=795
Australia,AUS,https://ww1.issa.int/node/195543?country=796
Austria,AUT,https://ww1.issa.int/node/195543?country=797
Azerbaijan,AZE,https://ww1.issa.int/node/195543?country=798
Bahamas,BHS,https://ww1.issa.int/node/195543?country=800
Bahrain,BHR,https://ww1.issa.int/node/195543?country=801
Bangladesh,BGD,https://ww1.issa.int/node/195543?country=802
Barbados,BRB,https://ww1.issa.int/node/195543?country=803
Belarus,BLR,https://ww1.issa.int/node/195543?country=804
Belgium,BEL,https://ww1.issa.int/node/195543?country=805
Belize,BLZ,https://ww1.issa.int/node/195543?country=806
Benin,BEN,https://ww1.issa.int/node/195543?country=807
Bermuda,BMU,https://ww1.issa.int/node/195543?country=808
Bhutan,BTN,https://ww1.issa.int/node/195543?country=809
Bolivia,BOL,https://ww1.issa.int/node/195543?country=810
Botswana,BWA,https://ww1.issa.int/node/195543?country=812
Brazil,BRA,https://ww1.issa.int/node/195543?country=813
British Virgin Islands,VGB,https://ww1.issa.int/node/195543?country=814
Brunei Darussalam,BRN,https://ww1.issa.int/node/195543?country=815
Bulgaria,BGR,https://ww1.issa.int/node/195543?country=816
Burkina Faso,BFA,https://ww1.issa.int/node/195543?country=817
Burundi,BDI,https://ww1.issa.int/node/195543?country=818
Cabo Verde,CPV,https://ww1.issa.int/node/195543?country=819
Cambodia,KHM,https://ww1.issa.int/node/195543?country=820
Cameroon,CMR,https://ww1.issa.int/node/195543?country=821
Canada,CAN,https://ww1.issa.int/node/195543?country=822
Central African Republic,CAF,https://ww1.issa.int/node/195543?country=824
Chad,TCD,https://ww1.issa.int/node/195543?country=825
Chile,CHL,https://ww1.issa.int/node/195543?country=826
China,CHN,https://ww1.issa.int/node/195543?country=827
Colombia,COL,https://ww1.issa.int/node/195543?country=828
Congo,COG,https://ww1.issa.int/node/195543?country=830
Costa Rica,CRI,https://ww1.issa.int/node/195543?country=833
Côte d'Ivoire,CIV,https://ww1.issa.int/node/195543?country=834
Croatia,HRV,https://ww1.issa.int/node/195543?country=835
Cuba,CUB,https://ww1.issa.int/node/195543?country=837
Cyprus,CYP,https://ww1.issa.int/node/195543?country=838
Czechia,CZE,https://ww1.issa.int/node/195543?country=839
Democratic Republic of the Congo,COD,https://ww1.issa.int/node/195543?country=831
Denmark,DNK,https://ww1.issa.int/node/195543?country=840
Djibouti,DJI,https://ww1.issa.int/node/195543?country=841
Dominica,DMA,https://ww1.issa.int/node/195543?country=842
Dominican Republic,DOM,https://ww1.issa.int/node/195543?country=843
Ecuador,ECU,https://ww1.issa.int/node/195543?country=844
Egypt,EGY,https://ww1.issa.int/node/195543?country=845
El Salvador,SLV,https://ww1.issa.int/node/195543?country=846
Equatorial Guinea,GNQ,https://ww1.issa.int/node/195543?country=847
Estonia,EST,https://ww1.issa.int/node/195543?country=849
Eswatini,SWZ,https://ww1.issa.int/node/195543?country=981
Ethiopia,ETH,https://ww1.issa.int/node/195543?country=850
Fiji,FJI,https://ww1.issa.int/node/195543?country=852
Finland,FIN,https://ww1.issa.int/node/195543?country=853
France,FRA,https://ww1.issa.int/node/195543?country=854
Gabon,GAB,https://ww1.issa.int/node/195543?country=857
Gambia,GMB,https://ww1.issa.int/node/195543?country=858
Georgia,GEO,https://ww1.issa.int/node/195543?country=859
Germany,DEU,https://ww1.issa.int/node/195543?country=860
Ghana,GHA,https://ww1.issa.int/node/195543?country=861
Greece,GRC,https://ww1.issa.int/node/195543?country=863
Grenada,GRD,https://ww1.issa.int/node/195543?country=864
Guatemala,GTM,https://ww1.issa.int/node/195543?country=867
Guinea,GIN,https://ww1.issa.int/node/195543?country=869
Guinea-Bissau,GNB,https://ww1.issa.int/node/195543?country=870
Guyana,GUY,https://ww1.issa.int/node/195543?country=871
Haiti,HTI,https://ww1.issa.int/node/195543?country=872
Honduras,HND,https://ww1.issa.int/node/195543?country=873
Hong Kong (China),HKG,https://ww1.issa.int/node/195543?country=874
Hungary,HUN,https://ww1.issa.int/node/195543?country=875
Iceland,ISL,https://ww1.issa.int/node/195543?country=876
India,IND,https://ww1.issa.int/node/195543?country=877
Indonesia,IDN,https://ww1.issa.int/node/195543?country=878
Iran,IRN,https://ww1.issa.int/node/195543?country=879
Ireland,IRL,https://ww1.issa.int/node/195543?country=881
Isle of Man,IMN,https://ww1.issa.int/node/195543?country=882
Israel,ISR,https://ww1.issa.int/node/195543?country=883
Italy,ITA,https://ww1.issa.int/node/195543?country=884
Jamaica,JAM,https://ww1.issa.int/node/195543?country=885
Japan,JPN,https://ww1.issa.int/node/195543?country=886
Jersey,JEY,https://ww1.issa.int/node/195543?country=887
Jordan,JOR,https://ww1.issa.int/node/195543?country=888
