Year,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong (China),Hungary,Iceland,India,Indonesia,Iran,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyz Republic,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Taiwan (China),Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Uganda,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2000,3480355258.04,54790392746.19,1429049198.45,9129594818.61,826370370.37,284203750000,1911563668.85,1873184357.54,415576210513.09,197289625479.91,5272798390.7,8076470000,9062898936.17,53369787318.62,3059500000,12736856827.98,236792460312.47,832072450,3519991326.48,3480219000,424464089.9,8397912525.27,5788329609.16,655448188259.35,,6001153306.26,13245833843.55,2968369991.47,870486065.88,539227277.63,3654031716.27,10566578952.79,744773415931.59,916777282.65,1388506726.62,78249883995.63,1211346869600.41,99886577330.73,3227927697.44,15013629658.65,16577533355.44,21839780971.03,30565400000,9985844486.33,61828166496.09,19088046305.8,164158739097.62,551230861.86,333470370.37,24305717541.64,18327764882.44,99838543960.08,11784927700,1045998496.44,5686579747.54,1738100853.05,8242392103.68,1678239218.27,126019543413.33,1365639660792.16,5080483464,782915402.42,3057475335.19,1947981991011.77,4983024408.15,130457756628.44,520044370.37,19288827158.9,2995361140.63,371095510.05,712667896.73,6813577558.18,7186650135.44,171668164082.56,47218405892.43,9025660361.76,468394937262.37,165021012077.81,109591707802.22,100207610429.91,1563667799.62,132455662080.3,1146676894209.73,9005064474.93,4968359075956.59,,8460424400.56,18291994909,12705357103.01,67254174.4,37712842242.5,1369688498.07,1731198022.45,7958852838.93,17260364842.45,887295267.88,874000000,38270206950.41,2483953102.79,11524776866.64,21230182989.3,4629247090.98,1743506531.33,93789736842.11,2961484953.73,4069515579.07,115347500,1779523344.34,4663313620.02,707906744574.64,233271800,1288429391.8,2647885848.54,38857251336.34,5656473652.41,6849321645.96,3922247989.86,5494252207.91,417479337444.71,52623281956.7,5107329007.09,2241753120.21,69448756932.58,3772857145.02,171247131268.6,19507452535.76,82017743416.28,146297500,12304115000,3521339699.07,8855705139.56,51744749133.21,83669693589.15,172219461126.07,118605192877.39,17759890109.89,37253259017,259710142196.94,2067579822.44,932592592.59,427946038.69,258856138.71,1005159388.24,,189514926213.33,6013184809.24,6875845986.52,614879764.78,635874002.2,96074477958.24,,20289627636.68,419845231.78,151753369491.92,576178114168.49,598363313494.9,16330814179.98,12257418326.07,947671969.7,262835454366.86,279841151705.35,80590022271.71,,860521119.3,13375976353.7,126392233706.79,1491891107.96,8154338232.96,21473261837.02,274302959053.1,2904662604.82,6193246837.1,32375280320.58,1662127402027.54,10250947997000,22823255801.84,13760513969.31,272014693.05,,31172518403.32,9652436179.65,3600683039.73,6689957600
2001,3922100793.54,54744712814.87,1546926174.5,8936063723.2,800481481.48,268696750000,2118467913.38,1896648044.69,379083932596.33,197508773215.32,5707720390.85,8317830000,8976196808.51,53991289844.33,3054500000,12354820143.88,236746141604.37,871590369.33,3666222600.1,3680483000,461444513.67,8141537877.07,5489608299.66,559983704094.17,,5601090584.36,14183497963.11,3190371050.46,876794723.07,563024383.3,3984000517.02,10953485244.42,738981792355.37,932648604.42,1710843360.65,71517080040.63,1339395718862.89,98211749595.54,2796704603.04,15976174336.97,16810536883.72,23273640257.2,31682400000,10397897085.61,67808032979.54,7438189100.33,164791442543.38,572417440.82,340203703.7,25601765400.52,24468324000,96684636118.6,12282533600,1461139022.03,6254649538.98,1542477308.89,8231326016.47,1652464201,129533107311.81,1377657339291.34,5023265365.25,687408804.63,3219488663.77,1945790973803.15,5314909953.93,136309295225.34,520444185.19,18405203853.1,2829435956.52,392621385.89,712167575.62,6331961555.41,7651174661.43,169403241524.34,53749989092.02,8234846804.61,485441014538.64,160446947784.91,126878750295.94,109346669229.7,1659131243.74,130816321183.16,1168023426056.38,9194717836,4374711694090.87,,8975689844.85,22152694161.89,12986007425.88,63101272.37,34887512226.93,1525116370.28,1768619058.35,8362398701.59,17649751243.78,825706961.24,906000000,34110064452.16,2491822706.8,12237388001.73,21387533703.23,5438332738.1,1716502862.3,92783947368.42,3468337941.09,4088368978.35,122824000,1746064718.79,4613630622.78,756706300589.79,240970900,1480673594.06,2718868306.01,39459581217.38,5398568543.63,6220270632.34,3557333364.31,6007055042.18,431586852369.69,53872425916.62,5323146565.7,2448714680.56,74030364472.05,3709637829.95,173972218824.03,19452000520.16,79484403984.88,156907900,12502013400,3081024212.43,8495806432.18,52030158775.41,78921234457.55,190905493539.17,121604107165,17538461538.46,40394824679.12,306602070620.5,1965500949.34,892592592.59,462072315.6,266299603.52,1077413479.05,75951210.69,184137469733.33,6507824767.06,12960538723.76,622262057.19,1090467712.31,89794943349.89,,20876309970.39,409507389.16,135429607036.66,547658231279.87,627830029412.21,15749753804.83,15716489369.93,834279357.8,242395852494.41,287226531168.52,86771314031.18,,1080768906.5,13581644245.74,120296476180.4,1482437752.06,8824873259.32,22066031834.29,201751148417.1,3534803921.57,5840503868.57,39309580983.23,1643908161796.46,10581929774000,20898788416.63,11401421329.2,257926881.72,,32685198735.31,9861560094.74,4094480988.12,6777384700
2002,4348068242.2,56760355865.01,1755910032,15285594828.42,814381481.48,97724004251.86,2376335048.4,1962011173.18,395342716617.83,214394866675.24,6235856819.58,8881160000,9593510638.3,54724081490.51,3106500000,14594249022.89,258383599375.18,932292858.89,4194342849.47,3937228000,520849551.53,7905485146.44,5438857106.74,509795270685.19,,5843329107.56,16402846413.1,3622350203.95,825394490.16,620974660.23,4284028482.54,12417251815.88,760649334098.01,996068145.61,1997005786.54,70294892400.06,1470550015077.93,97963003804.79,3034250926.18,16578820687.29,18054384023.11,27074550257.81,33590500000,11420227884.62,82196001050.75,8728038525.14,178635163717.43,591122039.6,333196296.3,27137508656.85,28548945000,85146067415.73,12664190300,1806742742.27,7367975887.73,1432228125.27,7850809498.17,1833279985.37,140404460203.14,1501409382971.38,5335451307.54,578236035.1,3395728013.85,2078484517474.51,6166330136.29,154564203586.95,540336925.93,20444205991.03,2950198648.95,417806667.08,726131434.72,6058134466.75,7858235333.48,166349228737.39,67608919144.37,9318395054.86,514937948870.08,195660611165.18,128626917503.72,128596035288.4,1947332921.75,121148475241.67,1276769338449.3,9719017925.93,4182846045873.61,,9582453032.44,24636593223.35,13147743910.72,72196457.68,38137545245.15,1605643104.73,1758176653.08,9557031605.28,19152238805.97,775780697.68,927000000,20481889763.78,2688630822.53,14259781159.01,23649833332.17,5351701534.16,3495748397.63,100845526315.79,3908121309.86,4470446391.45,131738200,1777058592.99,4841310239.64,772106378935.38,242517200,1661818168.42,2968987019.23,42236836820.62,5677003239.29,6110632857.67,3349184760.03,6050875806.66,473861980070.98,66627729311.45,5224213017.54,2782192986.96,95385819320.57,4018365247.44,195524186477.62,20142756046.81,79904985384.87,163184900,12994310400,2999511040.2,7196260656.85,54777553515.08,84307291973.82,199072058823.53,134795565549.42,19363736263.74,46066101951.29,345470494417.86,1964832511.93,900000000,487763848.93,281793614.91,1168269230.77,85171308.17,189605920240,7006402592.45,17120906918.35,697518248.18,1253340519.53,92537752708.59,,23489890274.31,346405301.68,129088132201.85,627246081417,708756677088.63,16536535647.08,18136839087.01,1093574468.09,266849061835.66,310175772488.13,90558485523.39,,1221120798.81,14142035080.28,134300851255,1706698099.45,9008273720.93,23142153759.58,240253216295.12,4461978498.87,6178563590.89,43956369917.02,1784076738609.11,10929112955000,13606494599.43,9687788512.8,262596597.8,,35064105500.83,10694628091.67,4193845678.17,6342116400
2003,5611496257.14,67863828412.69,2361726862.3,17812704825.2,856396296.3,127586973492.18,2807061008.69,2044134078.21,467390797903.32,262273631180.05,7276753894.72,8870090000,11074813829.79,60158929188.26,3209500000,17827791321.31,318082528506.59,990727709.55,5349258334.32,4186525000,604041957.92,8082364816.17,7511582173.38,558233724164.71,,6557333084.61,21144983551.68,4740768355.23,784654423.62,813963830.18,4658246918.27,15970315751.03,895540646634.79,1142315522.2,2742815194.55,76507577234.6,1660287965663.89,94641378693.22,3503723086.7,17271760506.95,21251755293.95,34985749883.42,35901200000,14547325028.31,100090467581.27,8937567059.88,218096033517.01,622044665.52,343311111.11,21403167848.14,32432858000,80288461538.46,13243892200,2484745935.09,9874013098.46,2197612701.1,8623691300.04,2300453634.35,171652458349.41,1844544792036.86,6511903657.44,487038821.61,3991284895.37,2501640388482.35,7632406552.84,202370140236.27,591018407.41,21576351798.91,3446441698.01,477458598.71,743064076.79,4826827577.09,8230387552.23,161384522525.3,85302003908.04,11429333037.84,607699285433.87,234772463823.81,153544751395.43,164670771259.6,2328658227.85,127046633802.51,1577621707050.51,9430230564.47,4519561645253.53,,10195660789.84,30833699702.76,14904517649.85,90231856.8,47876510067.11,1919008090.5,2023324407.3,11771975156.81,20082918739.64,1157832934.55,748000000,26265625000,3070691319.52,18781721376.2,29667268248.13,6372498719.85,3208837077.25,110202368421.05,4714071978.29,5448415500.17,131398500,2051147606.74,5816553826.86,729336319677.45,245432900,1980907434.77,3601321064.55,52064058833.97,6303391143.83,7754647428.07,4926471294.3,6330473096.54,580070360701.96,88250885550.26,5322454925.85,3394084884.67,104911947834.12,4946292774.79,228858506821.84,21633708192.46,91760542940.07,153963200,13693981200,3536411824.3,7691367471.18,58731030121.87,87039145965.28,217827260805.84,165226175536.79,23533791208.79,57806506024.1,430347770731.79,2137156726.9,987407407.41,509090899.07,333428714.37,1464326160.82,102085583.47,215807655253.33,8768721956.33,22482365321.77,705704816.04,1385810072.19,97645448283.78,,29634713641.1,352531728.37,197020241490.08,702717332012.99,907491523174.12,18881765437.22,21355576672.54,1274190311.42,334337212322.08,363063293977.87,95693808463.25,,1555301496.05,15224257698.48,152280677649.06,2115836353.12,11305459802.07,27453007372.91,314592428076.49,5977560877.44,6606884390.78,52010238715.85,2057093877551.02,11456442041000,12045631092.54,10134453435.46,314471328.07,,39552513316.07,11777966673.39,4901839731.27,5727591800
2004,7184685781.52,85332581188.61,2894921778,23552047248.43,919729629.63,164657930452.79,3576615240.42,2254748603.35,614166310997.3,301457562038.54,8680370408.06,9055290000,13150159574.47,65108544250.04,3444500000,23144351851.85,369214712443.21,1057653620.03,6190270756.14,4484703000,682523857.02,8773451751.51,8957467706.54,669289321944.52,,7872333215,26157894736.84,5451688868.43,915257323.4,924318490.76,5337833248.04,18826215278.06,1026690238278.25,1272360516.62,4422855929.21,99079230169.64,1955347004965.69,117081522349.68,4656974937.55,18610594846.21,23510577108.23,41958833541.1,38203000000,17320552500,119814434353.58,10297483481.22,251373002954.38,666072101.78,367200000,22322395368.03,36591661000,78782467532.47,13724810900,4410764338.67,12145911801.24,2770082791.5,10131187261.44,2708078476.63,197479443979.15,2119633181634.37,7770219479.73,961900106.89,5125365191.99,2814353869359.08,8881368538.08,240963562236.13,599118592.59,23577286226.64,3635458132.65,532062927.38,787814379.18,6036959914.72,8869311410.95,169099768875.19,104141042625.79,13825302535.77,709148514804.66,256836875295.45,190043433964.84,194372115041.07,2822358473.17,135571348058.9,1806542968545.56,10174664853.95,4893116005656.56,,11411390409.03,43151647002.61,16095337093.84,102367039.27,59439090600.61,2211534585,2366398119.88,14435700533.37,21159827992.04,1511236655.52,897000000,33122307692.31,3454362685.97,22627507451.56,35064843792.9,5064732715.73,3476094498.88,124749473684.21,5454249122.71,6098092551.07,132440200,2362501023.24,6578844486.06,782240601984.76,240236000,2598249555.9,4137913500,59626020162.38,7631120533.36,9390855297.74,6609198832.76,7273938314.72,658380081545.18,103905210084.03,5795568204.65,3760443965.73,136385979322.44,5682788267.13,264511630666.98,24763712873.86,107759683863.12,165186200,15013381700,3927157866.96,9624440836.29,66768703497.57,95002028504.69,255110181539.81,189382122532.17,31734065934.07,74972669056.59,591016690742.8,2375376873.11,1066666666.67,549900170.1,407749576.87,1723750000,114582561.63,258742263040,10076817278.1,26141968161.09,839319927.27,1448536630.88,115035498757.54,,34414784504.24,397557524.02,255806631391.55,793175007858.07,1069055675273.75,20662525941.3,26645490675.04,1484092538.41,385118044877.47,405531321270.61,112863340757.24,,2076182460.87,16675948414.76,172895749632.05,2259992642.29,13280275123.04,31183059012.44,408876042651.7,6838351088.47,7939487473.86,67220154164.32,2421814353716.59,12217193198000,13686329890.12,12030023547.88,364996869.13,,45427854693.26,13872791658.55,6221077674.78,5805598400
2005,8052073539.38,103198223709.44,3159905484.39,36970918699.25,1022962962.96,198737095012.28,4900469950.09,2359776536.31,695075176665.16,316092273276.02,13245716099.01,9836200000,15968723404.26,69442943089.43,3819500000,30207567316.62,385714762230.04,1111453823.62,6567654493.51,4868136000,796938120.18,9549077918.7,9918907108.1,891633826603.38,,9531402847.87,29869283400.04,6146352742.03,1117113045.65,971977088.16,6293046161.83,19509850837.27,1173108598778.68,1337894379.63,6649307057.03,122314960843.92,2285965892364.2,145619191582.06,6650001684.9,20040642476.98,24036917016.59,45780237257.19,42643836100,18433411267.26,137143471328.27,11964484667.91,264467336457.17,708633194.73,364255555.56,35777570135.52,41507085000,89600665557.4,14698000000,8217369092.65,14106790200.22,3178126491.91,12401139453.97,2980484920.17,204885494686.38,2196945232435.8,9582783318.39,1027702254.39,6410823633.25,2846864211175.1,10744675209.9,247875422204.41,695555555.56,26783543667.06,2937071767.26,587029054.44,824880550.34,7184064657.3,9757034456.76,181570082162.19,113236711635.54,16852963067.05,820381595512.9,285868618224.02,226452138291.54,211876989655.91,3032400000,142657069099.98,1858217147203.73,11243868485.74,4831467035389.8,,12588665303.24,57123671733.9,18737897744.79,112133944.25,80798630136.99,2460248026.18,2735558726.26,17003459863.1,21497336498.97,1682350934.85,949000000,47334148578.42,3659251525.86,26097677571.84,37672280120.48,5859269849.15,3655909664.14,143534102611.5,6247515892.3,6416184181.07,136559500,2936019525.6,6488750452.6,877476221382.1,250281900,2988348836.47,4203084193.51,62343022650.87,8542070109.71,10588433068.85,7248394160.36,8130258041.47,685348181515.95,114720129550.1,6321335612.22,4383315656.99,176134087150.34,6258600713.83,308884284051.22,31081991677.5,120055291992.94,190452900,16374393900,4865892972.28,10737500188.11,76060606060.61,107419961717.69,306144336269.51,197253876704.92,44530494505.49,98452791982.7,764017107992.39,2932340855.32,1135555555.56,579948909.32,476801791.15,1785847531.4,136450274.67,328459700114.76,11009032665.39,27683225959.25,919103254.55,1650494367,127807618360.97,,36206395970.65,476836691.06,288868489078.99,934901071332.98,1153715822717.51,24405791044.78,35182105414.39,1793388732.29,392218088878.78,420544947799.55,134203830734.97,,2312327536.42,18399046025.27,189318549680.38,2281482855.47,15982282462.38,32273007553.57,506308311476.63,8103901996.37,9239221858.56,89239370109.47,2544829090909.09,13039199193000,17362857683.85,14307509838.81,394962552.34,,57633255618.27,16746344766.2,8331870169.15,5755215200
2006,8896072918.98,117027307540.89,3456442102.62,52381006892.04,1157662962.96,232557260817.31,6384451606.14,2469832402.23,747556154537.29,336280064332.41,20982986344.3,10167250000,18504760638.3,71819083683.74,4217450802.55,36954312354.31,408259840868.82,1211148304.51,7034111651.5,6144000000,874989895.6,11451869202.16,10137883299.32,1107626711406.63,,11470703002.08,34379808888.6,6547420133.7,1273375020.27,1107891063.44,7274595706.67,20910513974.62,1319264809590.97,1461859762.63,7428701809.41,153840051814.06,2752131773358.92,161618581266.32,8072305030.68,22715540324.3,25281414472.99,50860788253.22,48835925925.93,20072786350.52,156264095664.64,14451902467.93,282884947702.97,768873684.03,390251851.85,37879869897.9,46802044000,107426086956.52,15999890000,10086528698.86,17022870405.22,3291353835.93,15280861834.6,3076305452.87,217089269791.76,2320536221304.7,10327598800.67,1054113426.71,7745394293.42,2994703642023.53,20440893017.16,273546728473.07,698700666.67,29744368110.91,4220019242.75,592365688.05,2379818382.99,7518107786.51,10917481688.47,193536265094.36,115751266695.19,17465318552.29,940259888792.14,364570514304.85,266298911661.14,232180617162.28,3422651333.95,154145495309.48,1949551719389.64,11930171468.38,4601663122649.92,,15056929760.23,81003884545.41,25825524820.81,110234939.76,101548931771.19,2834168889.42,3455031447.6,21570076498.62,22022709851.54,1800105589.6,1119000000,60092950669.91,4000239272.61,30183575103.53,42910146296.06,6395712392.24,3998020176.67,162691238209.48,6905934219.29,6778324049.68,141515800,3919577285.93,7028803365.7,975387131716.09,253541900,3408244549.2,4582988332.71,68640825480.92,9176889070.42,11863016315.29,8001779551.06,9043715355.89,733955269898.82,111538810712.67,6763361732.88,4756361479.99,236103982431.64,6861222331.96,345581369965.54,37215779713.91,137264061106.04,192382400,18141666300,8355006706.58,13429430050.26,88643193061.75,127652859201.04,344622003093.58,208756449275.85,60882142857.14,122022997508.01,989930542278.7,3318107347.28,1268319185.19,643501156.91,499923741.37,1908167105.76,142775597.26,376900135727.64,11697918802.79,32482070360.32,1016418229.25,1885112201.85,148630373214.17,,39481045038.26,538614679.02,303860874149.01,1053216909887.56,1260398977831.76,28279814924.59,45264519502.65,2626380435.18,423093437423.76,443801905407.56,153799910913.14,,2830220713.07,18649590248.26,221758196504.94,2351584608.41,18369361094.39,34377310293.01,557057829051.45,10276674364.9,9977647644.7,111884752475.25,2717059797608.1,13815586948000,19579457966.05,17330833852.92,439376794.09,,66371664817.04,19061978586.13,12756858899.28,5443896500
2007,10677324144.43,134977082623.78,3952600602.24,65266452081.39,1312759259.26,287530508430.57,9206301700.4,2677653631.28,853955405511.5,389185571506.05,33050343782.78,10618340000,21730000000,79611888213.15,4674007452.49,45277399813.61,470922156309.45,1283112550,8169048690.05,6767000000,1168308516.63,13120183207.66,10939053365.48,1397114247331.17,,12247694247.23,44405101469.56,7625723123.55,1356199364.86,1513933983.22,8639235842.18,23928251333.74,1468820407783.26,1699811293.26,8650138068.63,172565850839.16,3550342737009.53,206181826825.28,8782703427.96,26884700345.03,28760092034.47,60542673502.53,54262870370.37,23968764029.56,190183800884.02,16737071816.38,319423424509.07,847918929.11,421374074.07,43965420072.41,51007777000,130437828371.28,17011750000,13071718758.74,22449129482.62,3469363996.37,19707616772.8,3378314599.76,256378067752.16,2660591246211.77,12455410055.75,1279704744.83,10172882370.55,3425578382921.58,24827844949.6,318902829550.73,758683592.59,33567868322.63,6281917655.9,696910810.92,2730971150.01,9522763153.81,12361257680.56,211597405593.87,140227560615.12,21652505596.75,1216735441524.86,432216737774.86,349881601458.56,270079279419.5,4466100440.18,179161786957.47,2213102482751.46,12799593017.71,4579750920354.81,,17110587447.11,104849886825.58,31958195182.24,132671742.95,114639690358.9,3802566170.82,4223152219.24,31054350977.98,24827355014.66,1682016947.23,1373000000,68035403136.39,4601299566.81,39697891351.94,51587401415.79,8524620739.24,4432937045.8,193547824063.3,8156468818.01,7925371475.5,148346700,4346206808.54,8150138757.16,1052696282278.87,256787200,4401189466.14,5867916780.73,79041294874.46,10450843291.29,15591182544.71,8839526451.58,10325618017.38,848558887541.18,137188946865.58,7423313548.53,5731485267.33,275625684968.62,8336478142.09,400937100158.66,42085379453.84,152385716311.92,198897700,21295984200,9545177014.13,17856393235.43,102170981144.14,155980378253.63,429028505365.08,240496147317.38,79712087912.09,174585202805.23,1299705764823.62,4068224991.09,1336088814.81,713596662.15,573548460.43,2185874623.6,149146423.08,415964583055.37,13994218939.24,43170990616.47,1033561654.06,2158496872.86,180941941477.01,,48067401207.4,620211238.89,333075462599.71,1172614086539.86,1474002579820,32350248410.82,59440139774.81,2936612021.86,491252589217.02,493537376707.76,180030111358.58,,3719506172.84,21843529024.92,262942476722.43,2662612348.44,21641620049.94,38914078351.8,681337335021.87,12664165103.19,11902564401.32,148733861386.14,3106182472989.2,14474226905000,23410572634.31,22311393927.88,516392922.51,,77414425532.25,21650532264.23,14056957976.26,5291950100
2008,12881353507.85,171000699876.75,4085630584.44,88538610805.32,1370070370.37,361558037110.42,11662040713.88,2843016759.78,1055127126230.98,432051935642.95,48852482960.08,10526000000,25710904255.32,91631278239.32,4784925079.03,60763483146.07,517328087920.08,1352588867.73,9787735426.01,6980000000,1227808790.67,16674324661.87,10945070441.93,1695855391810.9,,14393099068.59,54438966419.86,9451436358.97,1611835901.91,1789333748.68,10351914093.17,27715144580.27,1552989690721.65,1993407886.56,10393834720.85,179663403196.99,4594307032667.98,242186950900.78,11649857662.14,30801744881,34078243426.01,70750646248.06,56302129629.63,27844698989.31,236816485762.99,19788515873.89,353361038818.38,999105339.27,458188888.89,48122547177.19,61762635000,162818181818.18,17986890000,19749893536.32,24341678628.97,3294093485.21,27066912635.22,3523185919.56,285716311136.72,2930303780828.12,15571349775.78,1561763437.03,12795076469.01,3745264093617.19,28678701891.1,355908689477.45,825976037.04,38503862830.69,6964179193.84,868154708.52,3025187923.59,10485225353.18,13881701033.65,219279678430.16,158374419641.02,18074622987.02,1198895582137.51,510228634992.26,412336172446.85,275447471451.06,5928420955.88,216711549609.81,2408655348718.59,13709402085.32,5106679115127.3,,22657662392.56,133441612246.8,35895153327.85,141042610.3,147395089285.71,5139957784.91,5446434031.69,35854274228.91,29118916105.61,1766825412.77,1726000000,86708074534.16,5081432924.01,47797551587.88,58844277701.53,10725137930.83,5321012192.34,230813897715.69,9838403090.96,9090406767.25,151898900,5206444406.66,9990370016.31,1109989063586.62,263145100,6054849884.53,6476490405.74,92507257783.57,12556195188.6,23013015832.1,8607475308.12,12545438605.4,951869997864.06,133131369930.41,8496946608.23,7297600896.86,339476215683.59,9909548410.83,462250000000,60905452535.76,170077814106.31,198283900,25155888600,11670840931.82,24615276689.86,120550599815.44,181624577154.68,533609081852.9,263416394624.08,115270054945.06,214313628965.02,1660846387624.78,5177230923.29,1437731111.11,732663263.52,641346174.9,2393437820.42,188021190.59,519796738640,16853991176.91,52194221468.5,967199593.96,2505458705.03,193611986712.84,,55779427739.66,699203616.46,316132138757.08,1047339010225.25,1631863493552.34,40713812309.73,64831935604.25,3532969034.61,517706149201.2,570304197211.71,218089977728.29,,5161337336.4,27941177434.51,291382991177.7,3323677130.04,27871587349.54,44860969077.19,770462156204.38,19271523178.81,14440404021.49,188111140643.99,2938882352941.18,14769857911000,30366213119.29,29549438883.83,590748237.02,,99130304099.13,26910851361.76,17910858637.9,4415702800
2009,12044208085.86,137211035770.03,3674409558.21,70307166934.33,1228329629.63,332976484577.62,8647936747.99,2553631284.92,928042998085.7,401758735822.21,44291490420.5,9981960000,22938218085.11,102477791472.39,4465657314.64,50874078052.27,483254171097.81,1320605471.63,9738626993.28,6656000000,1234014291.82,17339992193.73,10267133177.73,1666996294372.87,,10732366286.26,52023504656.29,9450697335.54,1781455092.07,1711817181.53,10401851850.61,27932971683.42,1374625142157.29,2067381663.75,9290728773.36,171412642047.33,5101703073088.97,232397835678.34,9723299908.19,30745712006.53,33886814907.03,63084004705.08,57481481481.48,25945391775.49,207434296805.33,18648373312.42,321241303699.01,1049110684.72,489074074.07,48261033298.21,62519686000,189147005444.65,17601620000,15027795173.22,19633031397.61,3580417066.92,32437389116.04,2870624635.68,253497520828.52,2700887366932.03,12113699660.68,1450140385.97,10766836276.56,3411261212652.34,26048108185.05,331308500253.27,771275555.56,37125943564.99,6716904568.76,830126469.99,3165663152.73,11597014807.35,14587496229.18,214046415026.19,131114229049.18,13154414219.21,1341886602798.69,539580085612.4,416397025729.36,236443115853.7,5487083657.89,207953439208.61,2199928804118.63,12120460872.8,5289493117993.89,,24537876056.34,115308661142.93,42347217912.92,132419903.29,105963168867.27,4690062255.12,5836138127.07,26410909090.91,35399582928.62,1740830510.87,1768000000,60810211408.06,4504549214.23,37388122046.15,54467289897.56,9616879571.46,6191127665.2,202257625195.06,10231962382.78,8696366907.47,149769600,4714592492.93,9128843109.16,900045350649.35,280284600,5439422031.4,5451653237.01,92897320375.82,11914471497.15,29455165594.69,8938868165.39,12854985464.08,871518638049.22,121373602348.68,8298679908.55,7352131669.29,295008767295.04,9401731495.72,386190385318.77,48388363589.08,168152775283.03,187522800,27116635600,11619637798.99,22355161514.35,120822986521.48,175974711592.15,439737508413.19,244667762835.54,97798351648.35,174103695930.21,1222644282201.86,5671592572.2,1401507888.89,714300243.78,628006123.27,2056126701.86,187820464.57,429097899280,16145868284.56,45162894380.93,847397850.09,2453899846.88,194152286008.94,,50567734885.96,735997355.68,329753048857.05,943941876218.74,1491472923706.64,42066217871.53,58316191440.37,3875409836.07,436537014293.55,558199868578.26,224561692650.33,,4979481980.35,29081425282.29,281710416557.29,3379258564.97,19172165225.5,43454935940.16,649272568774.19,20214385964.91,25127805566.45,121552777492.56,2425798410967.44,14478064934000,31660911277.03,33689223673.26,592622502.36,,106014659770.22,25130274124.25,15328342303.96,9665793300
