country,system_type,profile_data_date
Albania,Social insurance and social assistance system,January 2018
Algeria,Social insurance system,January 2019
Andorra,Social insurance and social assistance system,January 2018
Angola,Social insurance system,January 2019
Antigua and Barbuda,Social insurance and social assistance system,July 2019
Argentina,Social insurance and social assistance system,July 2019
Armenia,"Social insurance, mandatory individual account, and social assistance system",July 2018
Aruba,Social insurance and mandatory occupational pension system,July 2019
Australia,Universal (social security) and mandatory occupational pension system,July 2018
Austria,Social insurance system,January 2018
Azerbaijan,Notional defined contribution (NDC) and social assistance system,July 2018
Bahamas,Social insurance and social assistance system,July 2019
Bahrain,Social insurance system,July 2018
Bangladesh,Social assistance system,July 2018
Barbados,Social insurance and social assistance system,July 2019
Belarus,Social insurance and social assistance system,January 2018
Belgium,Social insurance system,January 2018
Belize,Social insurance and social assistance system,July 2019
Benin,Social insurance system,January 2019
Bermuda,"Social insurance, mandatory occupational pension, and social assistance system",July 2019
Bhutan,"Universal, provident fund, and employer-liability system",July 2018
Bolivia,Universal and mandatory individual account system,July 2019
Botswana,Universal and social assistance system,January 2019
Brazil,Social insurance and social assistance system,July 2019
British Virgin Islands,Social insurance system,July 2019
Brunei Darussalam,"Universal, provident fund, and mandatory individual account system",July 2018
Bulgaria,"Social insurance, individual account, and social assistance system",January 2018
Burkina Faso,Social insurance system,January 2019
Burundi,Social insurance system,January 2019
Cabo Verde,Social insurance and social assistance system,January 2019
Cambodia,"Social insurance (cash sickness and maternity benefits, and medical benefits), employer-liability (cash maternity benefit), and social assistance (cash maternity and medical benefits) system",July 2018
Cameroon,Social insurance system,January 2019
Canada,"Universal, social insurance, and social assistance system",July 2019
Central African Republic,Social insurance system,January 2019
Chad,Social insurance system,January 2019
Chile,"Social insurance, mandatory individual account, social assistance, and universal (child benefit) system",July 2019
China,"Social insurance, individual account, and noncontributory system",July 2018
Colombia,"Social insurance, mandatory and voluntary individual account, and social assistance system",July 2019
Congo,Social insurance system,January 2019
Democratic Republic of the Congo,Social insurance system,January 2019
Costa Rica,Social insurance and mandatory individual account system,July 2019
Croatia,Social insurance and mandatory individual account system,January 2018
Cuba,"Universal, social insurance, and social assistance system",July 2019
Cyprus,Social insurance and social assistance system,January 2018
Czechia,Universal (funeral grant) and social insurance system,January 2018
Côte d'Ivoire,Social insurance system,January 2019
Denmark,Universal and social insurance system,January 2018
Djibouti,Social insurance system,January 2019
Dominica,Social insurance system,July 2019
Dominican Republic, Mandatory individual account system,July 2019
Ecuador,Social insurance and social assistance system,July 2019
Egypt,Social insurance system,January 2019
El Salvador, Mandatory individual account and social assistance system,July 2019
Equatorial Guinea,Social insurance system,January 2019
Estonia,"Universal, social insurance, mandatory individual account, and social assistance system",January 2018
Eswatini,Universal and provident fund system,January 2019
Ethiopia,Social insurance system,January 2019
Fiji, Provident fund and social assistance system,July 2018
Finland,Universal and social insurance system,January 2018
France,"Social insurance, mandatory occupational pension, and social assistance system",January 2018
Gabon,Social insurance system,January 2019
Gambia,Social insurance and provident fund system,January 2019
Georgia,Universal and individual account system,July 2018
Germany,Social insurance and social assistance system,January 2018
Ghana,Social insurance and mandatory occupational pension system,January 2019
Greece,"Universal, social insurance and social assistance system",January 2018
Grenada,Social insurance system,July 2019
Guatemala,Social insurance and social assistance system,July 2019
Guinea,Social insurance system,January 2019
Guinea-Bissau,Social insurance system,January 2019
Guyana,"Universal, social insurance, and social assistance system",July 2019
Haiti,Social insurance and social assistance system,July 2019
Honduras,Social insurance and mandatory individual account system,July 2019
Hong Kong (China),"Universal, mandatory occupational pension, and social assistance system",July 2018
Hungary,Social insurance system,January 2018
Iceland,Universal and mandatory occupational pension system,January 2018
India,"Social insurance, provident fund, employer-liability, and social assistance system",July 2018
Indonesia,"Social insurance, provident fund, and mandatory life insurance system",July 2018
Iran,Social insurance system,July 2018
Ireland,Social insurance and social assistance system,January 2018
Isle of Man,"Universal, social insurance, and social assistance system",January 2018
Israel,Social insurance and social assistance system,July 2018
Italy,"Social insurance, notional defined contribution (NDC), and social assistance system",January 2018
Jamaica,Social insurance system,July 2019
Japan,Social insurance system,July 2018
Jersey,Universal (long-term care) and social insurance system,January 2018
Jordan,Social insurance system,July 2018
Kazakhstan,"Universal, social insurance, mandatory individual account, and social assistance system",July 2018
Kenya,"Universal, mandatory individual account, and provident fund system",January 2019
Kiribati,Universal and provident fund system,July 2018
South Korea,Social insurance and social assistance system,July 2018
Kuwait,Social insurance system,July 2018
Kyrgyz Republic,"Social insurance, notional defined contribution (NDC), mandatory individual account, and social assistance system",July 2018
Lao People's Democratic Republic,Social insurance system,July 2018
Latvia,"Universal (disabled person care allowance), social insurance (disability benefits), notional defined contribution (NDC), mandatory individual account, and social assistance system",January 2018
Lebanon,Social insurance system,July 2018
Lesotho,Universal system,January 2019
Liberia,Social insurance system,January 2019
Libya,Social insurance system,January 2019
Liechtenstein,"Social insurance, mandatory occupational pension, and social assistance system",January 2018
Lithuania,Social insurance and social assistance system,January 2018
Luxembourg,Social insurance system,January 2018
Madagascar,Social insurance system,January 2019
Malawi, Mandatory individual account system,January 2019
Malaysia,"Provident fund, social insurance, and social assistance system",July 2018
Mali,Social insurance system,January 2019
Malta,"Universal, social insurance, and social assistance system",January 2018
Marshall Islands,Social insurance system,July 2018
Mauritania,Social insurance system,January 2019
Mauritius,Universal and social insurance system,January 2019
Mexico,"Universal, social insurance, mandatory individual account, and social assistance system",July 2019
Micronesia,unknown,July 2018
Moldova,Social insurance and social assistance system,January 2018
Monaco,Social insurance system,January 2018
Morocco,Social insurance system,January 2019
Mozambique,Social insurance and social assistance system,January 2019
Myanmar,Social insurance system,July 2018
Namibia,"Universal, social insurance, and social assistance system",January 2019
Nepal, Provident fund and social assistance system,July 2018
Netherlands,Social insurance system,January 2018
New Zealand,Universal and social assistance system,July 2018
Nicaragua,Social insurance system,July 2019
Niger,Social insurance system,January 2019
Nigeria, Mandatory individual account system,January 2019
North Macedonia,unknown,31 December 2020
Norway,"Universal, social insurance, notional defined contribution (NDC), and mandatory occupational pension system",January 2018
Oman,Social insurance system,July 2018
Pakistan,Social insurance system,July 2018
Palau,Social insurance system,July 2018
