Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,0.14087316,1.24027791,1.12990194,1.27081888,1.30457162,1.76791153,2.33226259,2.26027417,2.4630628,2.85096025,2.233482,2.77086252,2.92699537,3.04678667,3.05628788,3.34826009,2.72140895,5.38899046,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,1.21245611,5.45767879,3.60296822,3.37097836,2.72002935,2.60708547,3.00128436,2.51257253,2.25547075,2.18811941,1.37000275,1.77506948,1.8606739,2.01440573,2.14110541,2.31911564,1.89807308,3.87310839,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,0.08418062,0.65096337,0.5429256,0.5291841,0.49784002,0.55994755,0.62779981,0.53190351,0.46915734,0.47999978,0.34288704,0.44335812,0.47265655,0.52267283,0.60012823,0.64313394,0.54922014,1.08443093,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,..,..,0.89142376,7.28044415,5.53527164,5.31934786,4.6865387,5.65336657,6.12099695,5.41736698,5.47462463,5.60622501,4.34189463,5.03476191,4.96025801,5.17223978,5.0778451,5.09581852,3.88780427,8.18920326,..,..
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..,85.37561035,86.06919098,84.52759552,78.97008514,76.82497406,78.16999054,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04786682,73.05592346,78.3822937,75.97433472,75.48404694,76.319664,79.39915466,..,..
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,13.49204723,14.66252735,17.25441753,18.86634996,21.38543832,24.44519073,28.73069622,30.36549678,35.54101566,37.25279732,38.31590145,39.65127422,43.1095203,46.17228869,45.72794863,49.59757036,53.42270666,52.24943995,..,..
Afghanistan,AFG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..,69.38563856,70.97080148,75.62688438,79.52839499,87.39157216,83.78027492,98.88804851,107.8018118,113.4940887,104.8219339,113.1579529,125.4061284,144.8655851,165.846985,177.8864906,196.0976138,224.6157481,226.7307585,..,..
Afghanistan,AFG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,..,..,0.7244693,6.00329775,4.95241076,5.35695491,5.33113061,6.05911061,8.02740365,8.02429325,7.8653652,8.02203292,6.59611915,8.7634798,9.8358992,10.94380195,11.88927869,13.23826568,11.4421628,23.38493763,..,..
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,30.82557931,34.54579114,36.06915495,47.62977288,65.20411534,69.52596734,74.33125468,85.71827904,97.43617521,94.71818238,96.23779383,104.124526,103.7971804,113.4170211,118.4573884,107.5986332,115.212352,120.7582351,148.4365691,..,..,..
Albania,ALB,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,8.17372704,8.42368317,8.20897484,8.99717617,9.35447407,9.22509766,8.76739883,8.31045246,7.15889835,7.15455055,8.09464931,8.17873192,8.69735146,8.83011913,8.17427826,8.88020515,9.62167263,9.17743587,9.80235767,..,..,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.76583052,2.75327611,2.5886693,2.67035341,2.82082701,2.66531777,2.55931067,2.43571401,2.27125502,2.33805966,2.37873578,2.36556411,2.45518875,2.5777564,2.5936172,2.73134828,2.80370522,2.67507172,2.82499456,..,..,..
Albania,ALB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,38.23709106,38.56386185,37.46622849,37.80501175,41.64583206,42.06929398,42.58932877,38.55909348,44.19590378,50.80281067,50.12300491,49.33045959,48.56695938,47.86376953,47.12691498,55.78379059,57.0320549,53.3665657,53.99380493,..,..,..
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,60.40230942,57.77629089,59.70919037,54.0149231,52.66172409,52.53190231,51.34705734,55.98057556,53.07559967,47.12736511,47.36392975,49.56390762,50.40052032,50.89257813,52.15227509,43.28739929,41.76972198,44.57441711,44.65778351,..,..,..
Albania,ALB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,48.69450448,51.7564209,57.4827011,68.05230783,82.45149379,86.81703828,89.61615138,124.4468673,117.0127284,87.86558076,90.94027664,104.6172789,107.7158626,120.5940264,131.0890461,83.49495732,84.38040584,100.8633006,122.7705417,..,..,..
Albania,ALB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,166.5878859,173.4881614,187.6811743,185.7811959,188.5876134,190.4449518,197.691071,251.8170698,220.2975229,188.3580808,214.0290951,240.674171,266.9373744,288.8687144,322.3605962,246.2699905,247.1387831,285.1976099,324.6542399,..,..,..
Albania,ALB,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,105.4568302,115.7979181,117.7658883,130.028157,149.1384562,152.5146418,163.9729571,173.4501344,183.4411379,203.0480524,226.496869,239.5405828,257.2262446,271.6770477,291.2981327,317.3642483,337.4413786,341.4518445,392.525445,..,..,..
Algeria,DZA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,44.31665313,50.92126297,50.032731,58.0907601,66.00664235,69.78548822,79.90575638,105.3553543,148.9478555,147.5238525,159.3153402,202.9446549,244.7235767,235.8387389,258.972463,205.4267913,176.5028096,170.1995119,168.575678,161.3332849,..,..
