country,system_type,profile_data_date,gdp
Albania,Universal (medical benefits) and social insurance (cash benefits) system,January 2018,18260043499.81
Algeria,Social insurance system,January 2019,167983141738.31
Andorra,Social insurance system,January 2018,3329910723.76
Angola,"Universal (medical benefits), social insurance (cash maternity benefits), and employer-liability (cash sickness benefit) system",January 2019,72546985708.57
Antigua and Barbuda,Social insurance system,July 2019,1471125925.93
Argentina,"Universal (medical benefits), social insurance (cash maternity and medical benefits) and employer-liability (cash sickness benefits) system",July 2019,491492700657.01
Armenia,"Universal (birth or adoption grant and medical benefits), social insurance (cash benefits), and social assistance (maternity benefits) system",July 2018,13861183873.59
Aruba,Social insurance system,July 2019,2496648044.69
Australia,"Universal (medical benefits), employment-related (parental benefits), and social assistance (cash sickness benefits and birth grants)",July 2018,1542659899992.54
Austria,Social insurance system,January 2018,477082467454.3
Azerbaijan,Universal (medical benefits) and social insurance (cash benefits) system,July 2018,54622176470.59
Bahamas,"Universal (medical benefits), social insurance (cash benefits), and social assistance (medical benefits) system",July 2019,11208600000.0
Bahrain,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,38868663031.91
Bangladesh, Employer-liability system,July 2018,416264942893.33
Barbados,Universal (medical benefits) and social insurance (cash benefits) system,July 2019,4900800000.0
Belarus,Universal (medical benefits and prenatal care grant) and social insurance (cash benefits) system,January 2018,68218816484.12
Belgium,Social insurance system,January 2018,599879025377.51
Belize,Social insurance (cash benefits only) system,July 2019,1789923264.03
Benin,Social insurance (cash maternity benefit) and employer-liability (cash sickness and medical benefits) system,January 2019,17785640079.12
Bermuda,"Universal (medical benefits), mandatory health insurance (medical benefits), employer-liability (cash benefits), and social assistance (medical benefits) system",July 2019,7080900000.0
Bhutan,Universal (medical benefits) and employer-liability (cash benefits) system,July 2018,2315436303.3
Bolivia,"Universal (medical benefits), social insurance (cash and medical benefits), and employer-liability (paternity benefits) system",July 2019,40408208523.88
Botswana,Universal (medical benefits) and employer-liability (cash benefits) system,January 2019,17613846472.99
Brazil,Universal (medical benefits) and social insurance (cash benefits) system,July 2019,1608981220812.2
British Virgin Islands,Social insurance system,July 2019,
Brunei Darussalam,"Universal (medical benefits), employment-related (cash maternity benefits), and employer-liability (cash sickness and maternity benefits) system",July 2018,14006569575.68
Bulgaria,Social insurance system,January 2018,80271119426.11
Burkina Faso,Social insurance system. Maternity benefits only,January 2019,19737615114.37
Burundi,Employer-liability (cash and medical benefits) and social assistance (medical benefits) system,January 2019,2902029385.83
Cabo Verde,Social insurance and community-based social insurance system,January 2019,1936174043.45
Cambodia,"Social insurance (cash sickness and maternity benefits, and medical benefits), employer-liability (cash maternity benefit), and social assistance (cash maternity and medical benefits) system",July 2018,26961061119.8
Cameroon,"Social insurance (cash maternity, medical, and prenatal benefits) and employer-liability (cash sickness and medical benefits) system",January 2019,45238613479.83
Canada,Universal system (medical benefits) and social insurance (cash benefits) system,July 2019,1990761609665.23
Central African Republic,Social insurance (cash maternity benefit) and employer-liability (cash sickness benefit) system,January 2019,2516498299.01
Chad,"Social insurance (cash maternity benefits) and employer-liability (cash sickness, maternity, and medical benefits) system",January 2019,11779980801.78
Chile,"Social insurance (cash and medical benefits), mandatory private insurance (cash and medical benefits), and employer-liability (paternity benefit) system",July 2019,317058508651.76
China,Social insurance (cash and medical benefits) and mandatory individual account (medical benefits) system,July 2018,17734062645371.4
Colombia,Social insurance and social assistance system,July 2019,314322453228.3
Congo,"Social insurance (cash maternity and medical benefits) and employer-liability (cash sickness and maternity, and medical benefits) system",January 2019,12523961677.3
Costa Rica,"Social insurance (cash and medical benefits), employer-liability (cash maternity benefits), and social assistance (medical benefits) system",July 2019,64282438666.74
Côte d'Ivoire,"Social insurance (maternity and medical benefits), employer-liability (sickness benefit), and social assistance (medical benefits) system",January 2019,69764827467.44
Croatia,Social insurance system,January 2018,67837788543.59
Cuba,Universal (medical benefits) and social insurance (cash and in-kind benefits) system,July 2019,107352000000.0
Cyprus,Social insurance system,January 2018,27719337670.02
Czechia,Social insurance system,January 2018,282340849856.61
Democratic Republic of the Congo,Social insurance (cash maternity benefits) and employer-liability (cash sickness and medical benefits) system,January 2019,53958573693.05
Denmark,Universal (medical benefits) and employment-related (cash benefits) system,January 2018,397104343478.3
Djibouti,"Universal (medical benefits), social insurance (maternity and medical benefits), employer-liability (sickness, maternity and paternity benefits), and social assistance (medical benefits) system",January 2019,3371102123.51
Dominica,Social insurance system. Cash benefits only,July 2019,545618518.52
Dominican Republic,Social insurance (cash and medical benefits) and social assistance (medical benefits only) system,July 2019,94243453937.45
Ecuador,Social insurance (cash and medical benefits) and employer-liability (cash maternity benefit) system,July 2019,106165866000.0
Egypt,Social insurance system,January 2019,404142766093.05
El Salvador,Social insurance system,July 2019,28736940000.0
Equatorial Guinea,Social insurance system,January 2019,12269392788.74
Estonia,Social insurance system,January 2018,36262924353.6
