Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.18,487709497.21,596648044.69,695530726.26,764804469.27,872067039.11,958659217.88,1083240223.46,1245810055.87,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722905027.93,1873184357.54,1896648044.69,1962011173.18,2044134078.21,2254748603.35,2359776536.31,2469832402.23,2677653631.28,2843016759.78,2553631284.92,2453631284.92,2637988826.82,2615083798.88,2727932960.89,2791061452.51,2963128491.62,2983798882.68,3092178770.95,3202234636.87,3310055865.92,2496648044.69,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21290586002.88,21808473824.61,23707015393.92,28210036878.1,26118787467.48,29682172751.47,32239121547.15,33514552047.45,36521482936.95,41828336212.65,44862605392.83,49478916698.25,53514844533.89,69600788110.67,86057777550.91,91649152686.87,91124551925.91,103415844082.07,115345041829.64,134671404724.68,170654335897.03,174387007968.08,167266313060.9,174918045686.54,160133966253.81,136297338029.87,152518294683.99,186144649622.39,204139844556.65,217538592168.93,253224041095.04,273402805408.62,238255441287.56,236526919099.01,240120093424.59,269636854385.98,268413689898.38,282184986870.2,265814093139.91,262172198957.45,283925424524.95,258818573322.59,264869812959.29,352658503930.87,438833793854.26,512211130671.04,575921416503.73,661179291210,708286928848.11,719216656140.9,860478348236.46,964418457187.79,973043454994.63,983937046710.89,1003678868706.97,924252536256.5,882355055412.76,1020647235171.22,991022252916.7,997534042075.19,921645942921.89,1082095608968.23
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.11,548888895.56,546666677.78,751111191.11,800000044.44,1006666637.78,1399999966.67,1673333417.78,1373333366.67,1408888922.22,1748886595.56,1831108971.11,1595555475.56,1733333264.44,2155555497.78,2366666615.56,2555555566.67,2953333417.78,3300000108.89,3697940409.61,3641723322,3478787909.09,,,,,,,,,,,,,,,,,,,,,4055179566.35,4515558808.11,5226778808.89,6209137624.77,6971285594.68,9747879531.86,10109305182.95,12416161048.84,15856678596.15,17805113118.89,19907317065.67,20146404996.22,20497126770.13,19134211763.86,18116562464.91,18753469630.26,18053228578.89,18799450742.78,20116137325.82,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404135069.15,11127894641.02,11943187848.3,12676330764.69,13838369295.23,14862225759.91,15832591204.06,14426038229.77,14880349280.32,16882092549.47,23504605475.64,20832817218.39,25264953765.76,31273819025.97,44214484996.87,51444731784.03,62129390374.9,65315008068.1,71199708191.99,88628401268.68,112031308653.86,211003492000.19,187163726212.8,138115204947.35,114262670303.61,116507282627.2,107497542341.42,110321770123.66,108943464548.55,101768783075.2,121802125421.93,117457060715.76,118282253152.16,98826369836.03,86281743752.65,108221319966.44,125763022907.64,127063922266.8,130106822586.56,137521000392.09,140410259302.47,148012829262.28,176938027370.02,204644531317.32,254092555393.8,310557534109.24,393305207803.06,461791382953.67,566480827442.15,507043593426.25,591595778367.13,670983030296.12,727570384034.45,820792700049.51,864990453538.52,760734474152.24,690546384903.3,683748746978.11,741689925173.43,794543045900.11,784445725634.79,835808395909.48
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503400.96,5550483035.96,5550483035.96,5784341596.36,6131475065.18,7553560459.22,7072063345.59,8083872012.37,8769250549.8,10201099039.44,11228764963.24,10603784541.2,8307810973.59,5768720421.61,4438321017.39,5538749259.95,7526446605.52,7648377412.83,6506229607.29,6152922942.98,9129594818.61,8936063723.2,15285594828.42,17812704825.2,23552047248.43,36970918699.25,52381006892.04,65266452081.39,88538610805.32,70307166934.33,81699556136.66,109436531427.07,124998158417.86,133401594460.92,137244418012.55,87219290028.73,49840494025.52,68972763787.15,77792940077.12,69309104806.63,53619071176.14,72546985708.57
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338011.85,1897050133.42,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.78,652174990.84,1185315468.46,1880951520.4,2392764853.42,3199641335.94,2258513974.1,2545964540.88,3212121650.98,3480355258.04,3922100793.54,4348068242.2,5611496257.14,7184685781.52,8052073539.38,8896072918.98,10677324144.43,12881353507.85,12044208085.86,11926922828.99,12890764531.33,12319830437.35,12776220507.02,13228147516.12,11386850129.84,11861199830.84,13019689336.69,15156432309.9,15401830754.08,15131866270.59,18260043499.81
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.94,150820102.8,186558696.28,220127246.38,227281024.62,254020153.34,308008897.57,411578334.16,446416105.83,388958731.3,375895956.38,327861832.95,330070689.3,346737964.77,482000594.04,611316399.41,721425939.15,795449332.4,1029048481.88,1106928582.87,1210013651.88,1007025755,1017549124.33,1178738991.19,1223945356.63,1180597272.73,1211932397.82,1239876305.14,1429049198.45,1546926174.5,1755910032,2361726862.3,2894921778,3159905484.39,3456442102.62,3952600602.24,4085630584.44,3674409558.21,3449925738.86,3629133574.28,3188652765.36,3193512950.02,3271685596.66,2789881258.5,2896610479.73,3000162081.12,3218419896.96,3155149347.81,2891001149.36,3329910723.76
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35019874408.05,38163151812.55,43150006547.24,49841693162.63,59381535706.69,75330107157.25,142816295352.38,157909834833.93,196559705955.66,226978701921.54,249111411230.95,338626141970.26,459811278765.04,474025484143.08,444131734919.49,418463618520.43,425900123069.24,419501104252.23,406985865609.84,440608259911.81,424902039234.11,455824612499.58,644068929938.22,471525976315.05,473815259253.76,482768507761.57,507770217342.65,556060151754.3,614196023699.78,662320286110.82,644497080358.71,712838954000.87,816022345748.31,798508872207.51,803126104894.9,887856220506.33,1056250800483.71,1297897997606.52,1538296658886.73,1790043618080.77,2253740516075.54,1978805212789.63,2327010098167.46,2547958055744.58,2778076501107.13,2834607141427.39,2876010443891.52,2518700620586.27,2495864756764.43,2584096654452.22,2785878075917.03,2808099764578.03,2496251185652.42,2850421035169.38
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.5,19213022691.05,24871775164.6,23775831783.43,31225463217.76,43598748449.05,49333424135.11,46622718605.28,42803323345.14,41807954235.9,40603650231.54,33943612094.8,36384908744.21,36275674203.21,41464995913.92,50701443748.3,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617467964.6,222116541865.21,257916133424.1,315474615738.6,253547358747.45,289787452661.51,350666058392.17,374590657683.25,390107528483.06,403137207534.97,358134944420.5,357045156018.56,385605506854.88,422215043584.97,417215559513.36,358868765174.92,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.49,18272123664.4,25605249381.76,28344705966.58,28630474727.85,24256667553.26,26436857247.47,31256284543.59,31584210365.54,33293199095.47,34733000536.29,52544000116.9,72436777342.44,52438647921.92,51169499892.17,56781000101.08,58082870156.33,69252328951.64,76961923741.07,78676842366.55,84307486836.72,103979106777.91,79092001998.03,88416668900.26,110934442762.69,111106191358.2,126206817196.09,76636898036.47,141352368714.69,189719984268.49,228788617201.7,236741715015.02,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557531376217.97,643628665302.16,524819742918.67,452818426182.66,389591035520.68,491492700657.01
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838857.61,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.2,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.4,2807061008.69,3576615240.42,4900469950.09,6384451606.14,9206301700.4,11662040713.88,8647936747.99,9260284937.8,10142111334.5,10619320048.59,11121465767.41,11609512939.75,10553337672.99,10546135160.03,11527458565.73,12457941907.03,13619291361.28,12641209802.11,13861183873.59
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7,87879341.48,109079978.89,131431026.67,147841734.44,164369278.89,182144092.96,208372846.3,240923924.81,290440140.74,337174861.85,398637727.78,438794788.52,459470370.37,481707407.41,499281481.48,535174074.07,589429629.63,577281481.48,633729629.63,680618518.52,727859259.26,766200000,826370370.37,800481481.48,814381481.48,856396296.3,919729629.63,1022962962.96,1157662962.96,1312759259.26,1370070370.37,1228329629.63,1148700000,1137637037.04,1199948148.15,1181448148.15,1249733333.33,1336692592.59,1436585185.19,1467977777.78,1605944444.44,1687533333.33,1370281481.48,1471125925.93
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606786874.23,19683055213.35,19922723709.26,21539926083.55,23801097547.32,25977153096.65,27309889125.32,30444618658.3,32716989584.5,36686079068.2,41337215813.64,45222309329.15,52051401869.16,63844971172.33,88981577008.11,97333060221.22,105101474851.89,110387703601.74,118535980148.88,134941497216.86,150032311977.72,176953442470.68,194104601125.46,177333645297.15,193593551892.77,180573751629.98,182368494683.83,189400476442.56,236065919674.04,299767934207.31,311326664101.58,325902990346.13,325480273782.97,312126194491.29,322807333102.73,367915800415.8,401089529590.29,435323994365.32,399404463135.05,389098884572,415576210513.09,379083932596.33,395342716617.83,467390797903.32,614166310997.3,695075176665.16,747556154537.29,853955405511.5,1055127126230.98,928042998085.7,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1542659899992.54
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.1,11579431668.92,12440625312.87,13582798556.24,15373005557.03,17858486066.75,22059612476.93,29515467706.8,35189299911.66,40059206763.06,42959976221.52,51545758887.69,62052259073.25,73937296963.46,82058912997.23,71034228443.06,71275287569.57,72121016546.65,67985344886.87,69386774408.09,99036164939.16,124168442533.74,133339397080.13,133105805512.22,166463386179.35,173794177961.11,195078126721.76,190379720809.18,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217259147049.95,197289625479.91,197508773215.32,214394866675.24,262273631180.05,301457562038.54,316092273276.02,336280064332.41,389185571506.05,432051935642.95,401758735822.21,392275107258.67,431685217367.51,409401816050.53,430190979705.96,442584815286.03,381971148530.54,395837353031.5,417261151844.98,455168151938.94,445011872704.47,433258467676.52,477082467454.3
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.92,8792365810.51,446305555.56,1570000000,1193312101.91,2417355840.04,3176333837.03,3962238113.16,4446368570.69,4581432038.83,5272798390.7,5707720390.85,6235856819.58,7276753894.72,8680370408.06,13245716099.01,20982986344.3,33050343782.78,48852482960.08,44291490420.5,52909294791.93,65951627200.2,69683935845.21,74164435946.46,75244294275.15,53074370486.04,37867518957.2,40865558912.39,47112941176.47,48174235294.12,42693000000,54622176470.59
