
Country Name,Series Name,2000 [YR2000,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,0.21,..,..,0.21,..
Afghanistan,Prevalence of current tobacco use (% of adults),36.9,36.06,35.22,34.38,33.54,32.7,31.98,31.26,30.54,29.82,29.1,28.48,27.86,27.24,26.62,26,25.27,24.53,23.8,23.8
Albania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.57,6.79,7,7.22,7.43,7.65,7.66,7.67,7.67,7.68,7.69,7.5,7.31,7.12,6.93,6.74,6.88,7.03,7.17,..
Albania,Prevalence of current tobacco use (% of adults),35,34.26,33.52,32.78,32.04,31.3,30.64,29.98,29.32,28.66,28,27.42,26.84,26.26,25.68,25.1,24.4,23.7,23,23
Algeria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.58,0.63,0.67,0.72,0.76,0.81,0.78,0.75,0.71,0.68,0.65,0.71,0.76,0.82,0.87,0.93,0.94,0.94,0.95,..
Algeria,Prevalence of current tobacco use (% of adults),22.2,22.12,22.04,21.96,21.88,21.8,21.74,21.68,21.62,21.56,21.5,21.42,21.34,21.26,21.18,21.1,21.07,21.03,21,21
Angola,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.76,3.19,3.61,4.04,4.46,4.89,5.54,6.2,6.85,7.51,8.16,8.12,8.08,8.04,8,7.96,7.62,7.28,6.94,..
Angola,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Antigua and Barbuda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.13,5.18,5.23,5.27,5.32,5.37,5.42,5.46,5.51,5.55,5.6,5.66,5.72,5.77,5.83,5.89,6.05,6.22,6.38,..
Antigua and Barbuda,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Argentina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.75,8.73,8.71,8.7,8.68,8.66,8.75,8.83,8.92,9,9.09,9.18,9.27,9.37,9.46,9.55,9.58,9.62,9.65,..
Argentina,Prevalence of current tobacco use (% of adults),34,33.5,33,32.5,32,31.5,30.98,30.46,29.94,29.42,28.9,28.44,27.98,27.52,27.06,26.6,26.03,25.47,24.9,24.9
Armenia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.23,4.54,4.85,5.17,5.48,5.79,5.77,5.75,5.73,5.71,5.69,5.72,5.75,5.78,5.81,5.84,5.74,5.65,5.55,..
Armenia,Prevalence of current tobacco use (% of adults),32,31.66,31.32,30.98,30.64,30.3,29.96,29.62,29.28,28.94,28.6,28.26,27.92,27.58,27.24,26.9,26.53,26.17,25.8,25.8
Aruba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Aruba,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Australia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.72,11.79,11.86,11.94,12.01,12.08,12.14,12.2,12.27,12.33,12.39,12.08,11.77,11.45,11.14,10.83,10.72,10.62,10.51,..
Australia,Prevalence of current tobacco use (% of adults),24.4,23.74,23.08,22.42,21.76,21.1,20.52,19.94,19.36,18.78,18.2,17.7,17.2,16.7,16.2,15.7,15.13,14.57,14,14
Austria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.12,13.05,12.99,12.92,12.86,12.79,12.67,12.55,12.44,12.32,12.2,12.17,12.15,12.12,12.1,12.07,12.03,12,11.96,..
Austria,Prevalence of current tobacco use (% of adults),52.3,50.6,48.9,47.2,45.5,43.8,42.46,41.12,39.78,38.44,37.1,35.92,34.74,33.56,32.38,31.2,29.83,28.47,27.1,27.1
Azerbaijan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.45,3.12,2.79,2.47,2.14,1.81,2.04,2.27,2.51,2.74,2.97,3.29,3.61,3.94,4.26,4.58,4.52,4.47,4.41,..
Azerbaijan,Prevalence of current tobacco use (% of adults),28.7,28.48,28.26,28.04,27.82,27.6,27.32,27.04,26.76,26.48,26.2,26,25.8,25.6,25.4,25.2,24.87,24.53,24.2,24.2
Bahamas,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.58,5.32,5.06,4.8,4.54,4.28,4.25,4.22,4.18,4.15,4.12,4.21,4.29,4.38,4.46,4.55,4.63,4.7,4.78,..
Bahamas,Prevalence of current tobacco use (% of adults),10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.68,10.66,10.64,10.62,10.6,10.63,10.67,10.7,10.7
Bahrain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.74,1.74,1.75,1.75,1.76,1.76,1.75,1.73,1.72,1.7,1.69,1.61,1.53,1.46,1.38,1.3,1.23,1.16,1.09,..
Bahrain,Prevalence of current tobacco use (% of adults),22.2,21.76,21.32,20.88,20.44,20,19.62,19.24,18.86,18.48,18.1,17.76,17.42,17.08,16.74,16.4,16,15.6,15.2,15.2
Bangladesh,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.22,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.1,0.08,0.05,0.02,0.02,0.02,0.02,..
Bangladesh,Prevalence of current tobacco use (% of adults),57.6,56.14,54.68,53.22,51.76,50.3,49.04,47.78,46.52,45.26,44,42.98,41.96,40.94,39.92,38.9,37.67,36.43,35.2,35.2
Barbados,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.11,7.17,7.23,7.28,7.34,7.4,7.51,7.62,7.73,7.84,7.95,8.23,8.5,8.78,9.05,9.33,9.45,9.57,9.69,..
Barbados,Prevalence of current tobacco use (% of adults),10.2,10.1,10,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.12,9.04,8.96,8.88,8.8,8.7,8.6,8.5,8.5
Belarus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15.17,15.2,15.22,15.25,15.27,15.3,15.73,16.15,16.58,17,17.43,16.34,15.26,14.17,13.09,12,11.82,11.63,11.45,..
Belarus,Prevalence of current tobacco use (% of adults),41.8,41.2,40.6,40,39.4,38.8,38.2,37.6,37,36.4,35.8,35.24,34.68,34.12,33.56,33,32.3,31.6,30.9,30.9
Belgium,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.49,12.62,12.75,12.87,13,13.13,12.78,12.44,12.09,11.75,11.4,11.48,11.57,11.65,11.74,11.82,11.57,11.33,11.08,..
Belgium,Prevalence of current tobacco use (% of adults),33.4,32.82,32.24,31.66,31.08,30.5,30,29.5,29,28.5,28,27.54,27.08,26.62,26.16,25.7,25.1,24.5,23.9,23.9
Belize,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.55,5.87,6.19,6.52,6.84,7.16,7.14,7.13,7.11,7.1,7.08,7.01,6.94,6.88,6.81,6.74,6.57,6.39,6.22,..
Belize,Prevalence of current tobacco use (% of adults),15,14.6,14.2,13.8,13.4,13,12.66,12.32,11.98,11.64,11.3,10.98,10.66,10.34,10.02,9.7,9.4,9.1,8.8,8.8
Benin,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.46,2.41,2.37,2.32,2.28,2.23,2.28,2.33,2.37,2.42,2.47,2.57,2.67,2.77,2.87,2.97,2.92,2.86,2.81,..
Benin,Prevalence of current tobacco use (% of adults),16.7,16.04,15.38,14.72,14.06,13.4,12.86,12.32,11.78,11.24,10.7,10.28,9.86,9.44,9.02,8.6,8.13,7.67,7.2,7.2
Bhutan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.77,2.54,2.3,2.07,1.83,1.6,1.46,1.33,1.19,1.06,0.92,0.82,0.72,0.62,0.52,0.42,0.42,0.43,0.43,..
Bhutan,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Bolivia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.44,3.63,3.81,4,4.18,4.37,4.61,4.85,5.08,5.32,5.56,5.38,5.19,5.01,4.82,4.64,4.57,4.5,4.43,..
Bolivia,Prevalence of current tobacco use (% of adults),32.1,30.66,29.22,27.78,26.34,24.9,23.82,22.74,21.66,20.58,19.5,18.72,17.94,17.16,16.38,15.6,14.8,14,13.2,13.2
Bosnia and Herzegovina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.37,6.54,6.7,6.87,7.03,7.2,7.22,7.25,7.27,7.3,7.32,7.24,7.16,7.08,7,6.92,7,7.07,7.15,..
Bosnia and Herzegovina,Prevalence of current tobacco use (% of adults),46.6,45.96,45.32,44.68,44.04,43.4,42.78,42.16,41.54,40.92,40.3,39.78,39.26,38.74,38.22,37.7,36.97,36.23,35.5,35.5
Botswana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.05,9.16,9.27,9.39,9.5,9.61,9.41,9.21,9.02,8.82,8.62,8.27,7.92,7.56,7.21,6.86,6.77,6.68,6.59,..
Botswana,Prevalence of current tobacco use (% of adults),33.2,32.26,31.32,30.38,29.44,28.5,27.76,27.02,26.28,25.54,24.8,24.18,23.56,22.94,22.32,21.7,21.07,20.43,19.8,19.8
Brazil,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.78,8.69,8.6,8.5,8.41,8.32,8.35,8.39,8.42,8.46,8.49,8.36,8.24,8.11,7.99,7.86,7.71,7.57,7.42,..
Brazil,Prevalence of current tobacco use (% of adults),23.8,23.12,22.44,21.76,21.08,20.4,19.8,19.2,18.6,18,17.4,16.9,16.4,15.9,15.4,14.9,14.33,13.77,13.2,13.2
Brunei Darussalam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.23,0.22,0.22,0.21,0.21,0.27,0.33,0.39,0.45,0.51,0.5,0.49,0.48,0.47,0.46,0.47,0.47,0.48,..
Brunei Darussalam,Prevalence of current tobacco use (% of adults),16.7,16.66,16.62,16.58,16.54,16.5,16.48,16.46,16.44,16.42,16.4,16.38,16.36,16.34,16.32,16.3,16.27,16.23,16.2,16.2
