Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.84,56.31,56.78,57.27,57.77,58.29,58.83,59.38,59.93,60.48,61.03,61.55,62.05,62.53,62.97,63.38,63.76,64.13,64.49,64.83
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.96,74.29,74.58,74.83,75.04,75.23,75.42,75.65,75.91,76.22,76.56,76.91,77.25,77.55,77.81,78.03,78.19,78.33,78.46,78.57
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.64,71.12,71.61,72.1,72.59,73.07,73.52,73.94,74.31,74.64,74.94,75.2,75.44,75.66,75.88,76.09,76.3,76.5,76.69,76.88
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.52,47.06,47.7,48.44,49.26,50.17,51.14,52.18,53.24,54.31,55.35,56.33,57.24,58.05,58.78,59.4,59.93,60.38,60.78,61.15
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.94,74.17,74.4,74.61,74.82,75.02,75.2,75.38,75.54,75.68,75.82,75.96,76.09,76.22,76.35,76.48,76.62,76.75,76.89,77.02
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.58,73.76,73.93,74.11,74.28,74.45,74.62,74.79,74.95,75.12,75.28,75.44,75.6,75.76,75.91,76.07,76.22,76.37,76.52,76.67
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.41,71.8,72.11,72.35,72.51,72.63,72.72,72.82,72.95,73.12,73.33,73.57,73.82,74.06,74.27,74.47,74.64,74.8,74.95,75.09
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.79,73.85,73.94,74.04,74.16,74.29,74.43,74.58,74.73,74.87,75.02,75.16,75.3,75.44,75.58,75.73,75.87,76.01,76.15,76.29
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.23,79.63,79.94,80.24,80.49,80.84,81.04,81.29,81.4,81.54,81.7,81.9,82.05,82.15,82.3,82.4,82.45,82.5,82.75,82.9
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.13,78.58,78.68,78.63,79.18,79.33,79.88,80.18,80.43,80.33,80.58,80.98,80.94,81.14,81.49,81.19,81.64,81.64,81.69,81.9
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.76,67.05,67.39,67.79,68.25,68.75,69.26,69.75,70.2,70.6,70.94,71.23,71.51,71.77,72.02,72.27,72.49,72.69,72.86,73.01
Bahamas,BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.91,71.95,71.98,71.99,71.99,71.99,71.99,72,72.02,72.07,72.14,72.26,72.42,72.62,72.85,73.09,73.33,73.55,73.75,73.92
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.44,74.64,74.82,75,75.17,75.33,75.48,75.63,75.77,75.91,76.06,76.2,76.34,76.48,76.62,76.76,76.9,77.03,77.16,77.29
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.45,65.96,66.43,66.89,67.33,67.77,68.21,68.65,69.07,69.49,69.88,70.26,70.61,70.93,71.23,71.51,71.79,72.05,72.32,72.59
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.16,77.36,77.53,77.68,77.81,77.92,78.01,78.1,78.18,78.27,78.36,78.46,78.55,78.63,78.72,78.8,78.89,78.98,79.08,79.19
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.91,68.51,68.06,68.55,68.96,68.85,69.4,70.21,70.46,70.41,70.4,70.55,71.97,72.47,72.97,73.62,73.83,74.13,74.18,74.23
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.72,77.97,78.08,78.13,78.88,78.98,79.38,79.78,79.68,80.03,80.18,80.59,80.39,80.59,81.29,80.99,81.44,81.49,81.6,82
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.85,69.04,69.27,69.51,69.75,70,70.29,70.64,71.06,71.54,72.06,72.57,73.04,73.45,73.78,74.03,74.22,74.37,74.5,74.62
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.39,55.67,56.03,56.44,56.89,57.36,57.82,58.26,58.65,59.01,59.32,59.59,59.84,60.09,60.35,60.61,60.89,61.17,61.47,61.77
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.88,61.81,62.73,63.62,64.48,65.29,66.03,66.71,67.33,67.88,68.38,68.84,69.26,69.66,70.05,70.42,70.78,71.13,71.46,71.78
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.45,63.05,63.64,64.21,64.77,65.31,65.85,66.4,66.94,67.48,68.01,68.52,69.01,69.47,69.89,70.28,70.63,70.95,71.24,71.51
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.4,74.64,74.8,74.94,75.07,75.2,75.34,75.5,75.67,75.84,76.03,76.22,76.4,76.57,76.72,76.87,77,77.13,77.26,77.4
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.63,50.28,50.23,50.52,51.15,52.13,53.44,54.98,56.68,58.45,60.21,61.91,63.51,64.98,66.27,67.34,68.18,68.81,69.28,69.59
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.12,70.46,70.81,71.17,71.53,71.9,72.26,72.62,72.97,73.3,73.62,73.92,74.21,74.48,74.75,74.99,75.23,75.46,75.67,75.88
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.81,73.08,73.33,73.58,73.8,74.01,74.19,74.35,74.49,74.62,74.74,74.85,74.96,75.08,75.19,75.32,75.45,75.59,75.72,75.86
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.66,71.77,71.87,72.07,72.56,72.56,72.61,72.66,72.96,73.41,73.51,74.16,74.31,74.86,74.47,74.61,74.81,74.81,74.96,75.11
