Country Name,GDP per capita
Afghanistan,368.75
Africa Eastern and Southern,1537.34
Africa Western and Central,1757.03
Albania,6492.87
Algeria,3690.63
American Samoa,15743.31
Andorra,42137.33
Angola,1953.53
Antigua and Barbuda,15781.4
Arab World,6266.36
Argentina,10636.12
Armenia,4966.51
Aruba,29342.1
Australia,60443.11
Austria,53637.71
Azerbaijan,5388
Bahamas,27478.39
Bahrain,26562.97
Bangladesh,2457.92
Barbados,17225.46
Belarus,7302.26
Belgium,51247.01
Belize,6228.27
Benin,1319.15
Bermuda,114090.33
Bhutan,3266.36
Bolivia,3345.2
Bosnia and Herzegovina,7143.31
Botswana,6805.22
Brazil,7507.16
British Virgin Islands,
Brunei Darussalam,31449.08
Bulgaria,12221.5
Burkina Faso,893.08
Burundi,221.48
Cabo Verde,3293.23
Cambodia,1625.24
Cameroon,1666.93
Canada,51987.94
Caribbean small states,10063.69
Cayman Islands,86568.77
Central African Republic,461.14
Central Europe and the Baltics,18751.03
Chad,685.69
Channel Islands,
Chile,16265.1
China,12556.33
Colombia,6104.14
Comoros,1577.47
Congo,2290.38
Costa Rica,12472.44
Côte d'Ivoire,2549.04
Croatia,17685.33
Cuba,9499.59
Curacao,17717.6
Cyprus,31551.82
Czechia,26821.25
Democratic Republic of the Congo,577.21
Denmark,68007.76
Djibouti,3150.44
Dominica,7653.17
Dominican Republic,8476.75
Early-demographic dividend,3702.69
East Asia & Pacific,13041.78
East Asia & Pacific (excluding high income),9771.65
East Asia & Pacific (IDA & IBRD countries),9880.1
Ecuador,5965.13
Egypt,3698.83
El Salvador,4551.18
Equatorial Guinea,7506.67
Eritrea,
Estonia,27943.7
Eswatini,3978.4
Ethiopia,925.08
Euro area,42450.15
Europe & Central Asia,27152.47
Europe & Central Asia (excluding high income),8758.94
Europe & Central Asia (IDA & IBRD countries),9842.05
European Union,38411.06
Faroe Islands,69010.31
Fiji,4646.61
Finland,53654.75
Fragile and conflict affected situations,1784.73
France,43658.98
French Polynesia,19914.6
Gabon,8635.33
Gambia,772.15
Georgia,5023.27
Germany,51203.55
Ghana,2363.3
Gibraltar,
Greece,20192.6
Greenland,54571.21
Grenada,9010.57
Guam,35904.86
Guatemala,5025.54
Guinea,1189.18
Guinea-Bissau,795.12
Guyana,9998.54
Haiti,1829.59
Heavily indebted poor countries (HIPC),1035.89
High income,48225.24
Honduras,2771.72
Hong Kong (China),49800.54
Hungary,18728.12
IBRD only,7221.41
Iceland,68727.64
IDA & IBRD total,5682.47
IDA blend,1842.77
IDA only,1216.37
IDA total,1426.03
India,2256.59
Indonesia,4332.71
Iran,4091.21
Iraq,4775.38
Ireland,100172.08
Isle of Man,87157.47
Israel,52170.71
Italy,35657.5
Jamaica,5183.58
Japan,39312.66
Jordan,4103.26
Kazakhstan,10373.79
Kenya,2081.8
Kiribati,1606.46
"Korea, Dem. People's Rep.",
South Korea,34997.78
Kosovo,5269.78
Kuwait,24300.33
Kyrgyz Republic,1276.7
Lao People's Democratic Republic,2535.62
Late-demographic dividend,11465.86
Latin America & Caribbean,8327.61
Latin America & Caribbean (excluding high income),7728.03
Latin America & the Caribbean (IDA & IBRD countries),8108.92
Latvia,21148.16
Least developed countries: UN classification,1150.03
Lebanon,4136.15
Lesotho,1094.1
Liberia,675.66
Libya,6357.2
Liechtenstein,157754.95
Lithuania,23723.34
Low & middle income,5491.92
Low income,704.51
Lower middle income,2572.71
Luxembourg,133590.15
"Macao SAR, China",43873.59
Madagascar,500.51
Malawi,634.84
Malaysia,11109.26
Maldives,10366.29
Mali,873.79
Malta,33486.67
Marshall Islands,6172.15
Mauritania,2166.05
Mauritius,9106.24
Mexico,10045.68
Micronesia,3571.34
Middle East & North Africa,7562.83
Middle East & North Africa (excluding high income),3565.24
Middle East & North Africa (IDA & IBRD countries),3564.07
Middle income,6074.08
Moldova,5230.66
Monaco,234315.46
Mongolia,4566.14
Montenegro,9465.7
Morocco,3795.38
Mozambique,491.84
Myanmar,1209.93
Namibia,4865.56
Nauru,10648.14
Nepal,1208.22
Netherlands,57767.88
New Caledonia,37159.55
New Zealand,48781.03
Nicaragua,2045.54
Niger,590.63
Nigeria,2065.75
North America,68369.66
North Macedonia,6694.64
Northern Mariana Islands,23707.33
Norway,89154.28
Not classified,
OECD members,42446.86
Oman,19509.47
Other small states,13878.81
Pacific island small states,3643.85
Pakistan,1505.01
Palau,12083.89
Panama,14617.6
Papua New Guinea,2672.95
Paraguay,5891.5
Peru,6621.57
Philippines,3460.53
Poland,17999.91
Portugal,24567.51
Post-demographic dividend,49223.6
Pre-demographic dividend,1411.46
Puerto Rico,32640.71
Qatar,66838.36
Romania,14858.23
Russian Federation,12194.78
Rwanda,822.35
Samoa,3857.32
San Marino,45320.21
Sao Tome and Principe,2360.54
Saudi Arabia,23185.87
Senegal,1636.89
Serbia,9230.18
Seychelles,14653.31
Sierra Leone,480.04
Singapore,72794
Sint Maarten (Dutch part),
Slovakia,21391.93
Slovenia,29291.4
Small states,12588.93
Solomon Islands,2304.84
Somalia,446.98
South Africa,7055.04
South Asia,2149.82
South Asia (IDA & IBRD),2149.82
South Sudan,
Spain,30103.51
Sri Lanka,4013.69
St. Kitts and Nevis,18082.61
Saint Lucia,9414.23
St. Martin (French part),
Saint Vincent and the Grenadines,8666.39
Sub-Saharan Africa,1626.28
Sub-Saharan Africa (excluding high income),1625.18
Sub-Saharan Africa (IDA & IBRD countries),1626.28
Sudan,751.82
Suriname,4869.13
Sweden,61028.74
Switzerland,91991.6
Syrian Arab Republic,533.39
Tajikistan,897.05
Tanzania,1099.29
Thailand,7066.19
Timor-Leste,2741.39
Togo,973.21
Tonga,4426
Trinidad and Tobago,16032.5
Tunisia,3807.14
Türkiye,9661.24
Turkmenistan,7344.65
Turks and Caicos Islands,20908.58
Tuvalu,5632
Uganda,883.89
Ukraine,4835.57
United Arab Emirates,44315.55
United Kingdom,46510.28
United States of America,70248.63
Upper middle income,10828.05
Uruguay,17313.19
Uzbekistan,1983.06
Vanuatu,2996.62
Venezuela,
Vietnam,3756.49
Virgin Islands (U.S.),39552.17
West Bank and Gaza,3663.97
World,12234.8
Yemen,701.71
Zambia,1137.34
Zimbabwe,1773.92
