Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,0.21,..,..,0.21,..
Afghanistan,AFG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,36.9,..,..,..,..,32.7,..,..,..,..,29.1,..,..,..,..,26,..,..,23.8,23.8
Albania,ALB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.57,..,..,..,..,7.65,..,..,..,..,7.69,..,..,..,..,6.74,..,..,7.17,..
Albania,ALB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,35,..,..,..,..,31.3,..,..,..,..,28,..,..,..,..,25.1,..,..,23,23
Algeria,DZA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.58,..,..,..,..,0.81,..,..,..,..,0.65,..,..,..,..,0.93,..,..,0.95,..
Algeria,DZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,22.2,..,..,..,..,21.8,..,..,..,..,21.5,..,..,..,..,21.1,..,..,21,21
Angola,AGO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.76,..,..,..,..,4.89,..,..,..,..,8.16,..,..,..,..,7.96,..,..,6.94,..
Angola,AGO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.13,..,..,..,..,5.37,..,..,..,..,5.6,..,..,..,..,5.89,..,..,6.38,..
Antigua and Barbuda,ATG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.75,..,..,..,..,8.66,..,..,..,..,9.09,..,..,..,..,9.55,..,..,9.65,..
Argentina,ARG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,34,..,..,..,..,31.5,..,..,..,..,28.9,..,..,..,..,26.6,..,..,24.9,24.9
Armenia,ARM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.23,..,..,..,..,5.79,..,..,..,..,5.69,..,..,..,..,5.84,..,..,5.55,..
Armenia,ARM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,32,..,..,..,..,30.3,..,..,..,..,28.6,..,..,..,..,26.9,..,..,25.8,25.8
Aruba,ABW,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.72,..,..,..,..,12.08,..,..,..,..,12.39,..,..,..,..,10.83,..,..,10.51,..
Australia,AUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,24.4,..,..,..,..,21.1,..,..,..,..,18.2,..,..,..,..,15.7,..,..,14,14
Austria,AUT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,13.12,..,..,..,..,12.79,..,..,..,..,12.2,..,..,..,..,12.07,..,..,11.96,..
Austria,AUT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,52.3,..,..,..,..,43.8,..,..,..,..,37.1,..,..,..,..,31.2,..,..,27.1,27.1
Azerbaijan,AZE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.45,..,..,..,..,1.81,..,..,..,..,2.97,..,..,..,..,4.58,..,..,4.41,..
Azerbaijan,AZE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,28.7,..,..,..,..,27.6,..,..,..,..,26.2,..,..,..,..,25.2,..,..,24.2,24.2
"Bahamas, The",BHS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.58,..,..,..,..,4.28,..,..,..,..,4.12,..,..,..,..,4.55,..,..,4.78,..
"Bahamas, The",BHS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,10.7,..,..,..,..,10.7,..,..,..,..,10.7,..,..,..,..,10.6,..,..,10.7,10.7
Bahrain,BHR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.74,..,..,..,..,1.76,..,..,..,..,1.69,..,..,..,..,1.3,..,..,1.09,..
Bahrain,BHR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,22.2,..,..,..,..,20,..,..,..,..,18.1,..,..,..,..,16.4,..,..,15.2,15.2
Bangladesh,BGD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.23,..,..,..,..,0.16,..,..,..,..,0.16,..,..,..,..,0.021,..,..,0.019,..
Bangladesh,BGD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,57.6,..,..,..,..,50.3,..,..,..,..,44,..,..,..,..,38.9,..,..,35.2,35.2
Barbados,BRB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.11,..,..,..,..,7.4,..,..,..,..,7.95,..,..,..,..,9.33,..,..,9.69,..
Barbados,BRB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,10.2,..,..,..,..,9.7,..,..,..,..,9.2,..,..,..,..,8.8,..,..,8.5,8.5
Belarus,BLR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15.17,..,..,..,..,15.3,..,..,..,..,17.43,..,..,..,..,12,..,..,11.45,..
Belarus,BLR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,41.8,..,..,..,..,38.8,..,..,..,..,35.8,..,..,..,..,33,..,..,30.9,30.9
