Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,0.21,..,..,0.21,..
Afghanistan,AFG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,36.9,36.06,35.22,34.38,33.54,32.7,31.98,31.26,30.54,29.82,29.1,28.48,27.86,27.24,26.62,26,25.26666667,24.53333333,23.8,23.8
Albania,ALB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.57,6.786,7.002,7.218,7.434,7.65,7.658,7.666,7.674,7.682,7.69,7.5,7.31,7.12,6.93,6.74,6.883333333,7.026666667,7.17,..
Albania,ALB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,35,34.26,33.52,32.78,32.04,31.3,30.64,29.98,29.32,28.66,28,27.42,26.84,26.26,25.68,25.1,24.4,23.7,23,23
Algeria,DZA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.58,0.626,0.672,0.718,0.764,0.81,0.778,0.746,0.714,0.682,0.65,0.706,0.762,0.818,0.874,0.93,0.936666667,0.943333333,0.95,..
Algeria,DZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,22.2,22.12,22.04,21.96,21.88,21.8,21.74,21.68,21.62,21.56,21.5,21.42,21.34,21.26,21.18,21.1,21.06666667,21.03333333,21,21
Angola,AGO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.76,3.186,3.612,4.038,4.464,4.89,5.544,6.198,6.852,7.506,8.16,8.12,8.08,8.04,8,7.96,7.62,7.28,6.94,..
Angola,AGO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Antigua and Barbuda,ATG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.13,5.178,5.226,5.274,5.322,5.37,5.416,5.462,5.508,5.554,5.6,5.658,5.716,5.774,5.832,5.89,6.053333333,6.216666667,6.38,..
Antigua and Barbuda,ATG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
