Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,..,..,0.7244693,6.00329775,4.95241076,5.35695491,5.33113061,6.05911061,8.02740365,8.02429325,7.8653652,8.02203292,6.59611915,8.7634798,9.8358992,10.94380195,11.88927869,13.23826568,11.4421628,23.38493763
Afghanistan,AFG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..,69.38563856,70.97080148,75.62688438,79.52839499,87.39157216,83.78027492,98.88804851,107.80181181,113.49408867,104.82193387,113.15795289,125.40612844,144.8655851,165.84698503,177.88649058,196.09761383,224.6157481,226.73075846
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,0.08418062,0.65096337,0.5429256,0.5291841,0.49784002,0.55994755,0.62779981,0.53190351,0.46915734,0.47999978,0.34288704,0.44335812,0.47265655,0.52267283,0.60012823,0.64313394,0.54922014,1.08443093
Albania,ALB,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,105.45683015,115.79791813,117.76588832,130.02815698,149.13845619,152.51464184,163.97295711,173.45013444,183.44113787,203.04805242,226.49686904,239.54058277,257.22624455,271.67704769,291.29813267,317.36424827,337.44137858,341.45184446,392.525445,..
Albania,ALB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,166.58788586,173.48816143,187.68117431,185.78119589,188.58761338,190.44495179,197.69107101,251.81706984,220.29752293,188.35808078,214.0290951,240.67417099,266.93737441,288.86871443,322.36059624,246.26999049,247.13878313,285.19760987,324.65423994,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.76583052,2.75327611,2.5886693,2.67035341,2.82082701,2.66531777,2.55931067,2.43571401,2.27125502,2.33805966,2.37873578,2.36556411,2.45518875,2.5777564,2.5936172,2.73134828,2.80370522,2.67507172,2.82499456,..
Algeria,DZA,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,212.07861571,256.71512437,260.96575814,276.71244802,267.82745359,255.67743367,270.49491989,328.32019535,382.47594812,483.31790138,465.61134944,502.18516017,582.17243862,559.91471606,613.04460717,590.80915277,519.89179164,486.09414179,483.97236633,487.79007158
Algeria,DZA,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,82.47088773,79.90608626,85.54622544,83.90602634,107.34980322,113.02119998,124.39667403,141.82427089,148.57969768,198.173757,204.31613926,208.80964205,215.83995216,228.0057708,238.00512326,247.47621382,248.03019994,250.72991649,250.82006046,262.32367216
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.51082778,2.9254992,2.8079257,2.7617898,2.52882028,2.24167132,2.29699302,2.66687632,3.02516413,3.79895711,3.55552292,3.71975899,4.37614059,4.28830338,4.71454287,4.91700029,4.4724493,4.14140797,4.05819511,4.05817795
American Samoa,ASM,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
