Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.035,..,..,..,..,0.063,..,..,..,..,0.065,..,..,..,..,..,..,..,..,..,..,0.077,..,..,..,..,0.183,0.179,..,0.129,0.109,..,..,0.143,..,..,..,0.11,..,..,..,0.1899,..,..,..,..,0.1596,0.1743,0.1744,0.2126,0.2365,0.2518,0.2414,0.2846,0.2983,0.285,0.2782,..,..,..,..,..
Afghanistan,AFG,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,229,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.582,0.44,0.4956,0.4971,0.6078,..,..,..,0.2495,0.1476,0.1299,0.1482,0.1755,0.4461,..,..,..
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.276,..,..,..,..,0.481,..,..,..,..,0.739,0.911,0.845,..,..,..,..,1.036,..,..,1.367,..,..,1.415,1.407,1.406,..,..,..,..,1.3743,1.4611,1.6217,1.4131,1.345,1.3634,1.3806,1.3885,1.3904,..,1.3821,1.31,1.1695,1.1863,1.1913,..,1.1838,1.1951,..,1.2297,1.2347,1.2217,1.2683,1.2773,..,..,1.2164,..,2.1584,1.6471,..,..
Albania,ALB,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1900,..,..,..,..,..,..,..,..
Albania,ALB,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4993,..,..,4.9487,5.1514,4.5996,4.6097,4.6082,4.0923,4.0766,4.017,3.832,3.669,3.6042,3.5866,3.6076,4.1613,4.2011,..,4.1894,4.0183,4.1761,4.4192,4.2892,..,..,3.6495,..,..,5.088,..,..
Algeria,DZA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.173,..,..,..,..,0.116,..,..,..,..,0.123,..,..,..,..,..,..,..,..,0.38,..,..,..,..,0.427,..,..,..,0.429,..,0.942,..,..,0.821,..,0.846,..,..,1,..,..,..,1.1103,..,..,1.0242,..,1.1958,..,..,..,..,..,..,..,..,1.8325,..,1.7193,..,..,..
Algeria,DZA,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1896,..,..,..,..,1.9293,..,..,..,..,..,..,..,..,2.243,2.2228,1.5477,..,..,..
American Samoa,ASM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.772,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.781,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
