Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.9,..,..,..,..,32.7,..,..,..,..,29.1,..,..,..,..,26,..,..,23.8,23.8,23.3,..
Afghanistan,AFG,"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.4,..,..,..,..,14.5,..,..,..,..,11.4,..,..,..,..,9.1,..,..,7.9,7.5,7.2,..
Afghanistan,AFG,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.3,..,..,..,..,50.8,..,..,..,..,46.8,..,..,..,..,42.9,..,..,40.8,40.1,39.4,..
Albania,ALB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35,..,..,..,..,31.3,..,..,..,..,28,..,..,..,..,25.1,..,..,23,23,22.4,..
Albania,ALB,"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.9,..,..,..,..,9.4,..,..,..,..,8.1,..,..,..,..,6.9,..,..,6.4,6.2,6,..
Albania,ALB,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59,..,..,..,..,53.2,..,..,..,..,47.9,..,..,..,..,43.2,..,..,40.7,39.8,38.8,..
Algeria,DZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,..,..,..,..,21.8,..,..,..,..,21.5,..,..,..,..,21.1,..,..,21,21,21,..
Algeria,DZA,"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,1.5,..,..,..,..,1.2,..,..,..,..,0.9,..,..,0.8,0.7,0.7,..
Algeria,DZA,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.5,..,..,..,..,42.1,..,..,..,..,41.7,..,..,..,..,41.2,..,..,41.2,41.3,41.3,..
American Samoa,ASM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
