Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,48.2096194,48.9028772,49.596135,50.3981522,51.2001694,52.0021866,52.8042038,53.606221,54.4434294,55.2806378,56.1178462,56.9550546,57.792263,58.423871,59.055479,59.687087,60.318695,60.950303,61.4942584,62.0382138,62.5821692,..
Afghanistan,AFG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,54.1338672,54.8533456,55.572824,56.429403,57.285982,58.142561,58.99914,59.855719,60.7424844,61.6292498,62.5160152,63.4027806,64.289546,64.946512,65.603478,66.260444,66.91741,67.574376,68.161778,68.74918,69.336582,..
Albania,ALB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,78.304781,79.202819,80.100857,80.29339,80.485923,80.678456,80.870989,81.063522,81.4146096,81.7656972,82.1167848,82.4678724,82.81896,83.1957256,83.5724912,83.9492568,84.3260224,84.702788,84.8943206,85.0858532,85.2773858,..
Albania,ALB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,87.62386,88.032359,88.440858,88.605522,88.770186,88.93485,89.099514,89.264178,89.609936,89.955694,90.301452,90.64721,90.992968,91.0234534,91.0539388,91.0844242,91.1149096,91.145395,91.2225726,91.2997502,91.3769278,..
Algeria,DZA,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,72.9444058,73.7081814,74.471957,75.2699494,76.0679418,76.8659342,77.6639266,78.461919,78.858208,79.254497,79.650786,80.047075,80.443364,80.7325988,81.0218336,81.3110684,81.6003032,81.889538,82.1244132,82.3592884,82.5941636,..
Algeria,DZA,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,78.6274082,79.2163646,79.805321,80.4139128,81.0225046,81.6310964,82.2396882,82.84828,83.1694998,83.4907196,83.8119394,84.1331592,84.454379,84.7293842,85.0043894,85.2793946,85.5543998,85.829405,86.0510094,86.2726138,86.4942182,..
Angola,AGO,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,34.5373672,35.0034726,35.469578,36.525852,37.582126,38.6384,39.694674,40.750948,42.0637626,43.3765772,44.6893918,46.0022064,47.315021,47.9789558,48.6428906,49.3068254,49.9707602,50.634695,51.1369686,51.6392422,52.1415158,..
Angola,AGO,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,43.4219222,44.1097596,44.797597,46.1644822,47.5313674,48.8982526,50.2651378,51.632023,53.2021724,54.7723218,56.3424712,57.9126206,59.48277,60.3193652,61.1559604,61.9925556,62.8291508,63.665746,64.186799,64.707852,65.228905,..
Antigua and Barbuda,ATG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,74.2963408,74.7468774,75.197414,75.6704974,76.1435808,76.6166642,77.0897476,77.562831,77.8183046,78.0737782,78.3292518,78.5847254,78.840199,79.1380638,79.4359286,79.7337934,80.0316582,80.329523,80.5200758,80.7106286,80.9011814,..
Antigua and Barbuda,ATG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,84.0313972,84.3742786,84.71716,84.9797006,85.2422412,85.5047818,85.7673224,86.029863,86.0901376,86.1504122,86.2106868,86.2709614,86.331236,86.3464152,86.3615944,86.3767736,86.3919528,86.407132,86.5828732,86.7586144,86.9343556,..
Argentina,ARG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,71.6045926,71.9414128,72.278233,72.5939744,72.9097158,73.2254572,73.5411986,73.85694,74.1528076,74.4486752,74.7445428,75.0404104,75.336278,75.6134452,75.8906124,76.1677796,76.4449468,76.722114,76.9832518,77.2443896,77.5055274,..
Argentina,ARG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,83.9392458,84.1379044,84.336563,84.520485,84.704407,84.888329,85.072251,85.256173,85.4267028,85.5972326,85.7677624,85.9382922,86.108822,86.2671692,86.4255164,86.5838636,86.7422108,86.900558,87.0438168,87.1870756,87.3303344,..
Armenia,ARM,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,67.4730858,68.3697764,69.266467,69.2493838,69.2323006,69.2152174,69.1981342,69.181051,69.532983,69.884915,70.236847,70.588779,70.940711,71.2996732,71.6586354,72.0175976,72.3765598,72.735522,72.9891916,73.2428612,73.4965308,..
Armenia,ARM,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,81.7266452,82.4674016,83.208158,83.3246414,83.4411248,83.5576082,83.6740916,83.790575,84.1840484,84.5775218,84.9709952,85.3644686,85.757942,86.2334166,86.7088912,87.1843658,87.6598404,88.135315,88.2750314,88.4147478,88.5544642,..
Australia,AUS,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,84.9463408,85.4081694,85.869998,86.1484436,86.4268892,86.7053348,86.9837804,87.262226,87.4604128,87.6585996,87.8567864,88.0549732,88.25316,88.4617664,88.6703728,88.8789792,89.0875856,89.296192,89.4942954,89.6923988,89.8905022,..
Australia,AUS,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,91.0841072,91.3093316,91.534556,91.6890052,91.8434544,91.9979036,92.1523528,92.306802,92.4045604,92.5023188,92.6000772,92.6978356,92.795594,92.928301,93.061008,93.193715,93.326422,93.459129,93.5613138,93.6634986,93.7656834,..
Austria,AUT,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,80.9777176,81.4967128,82.015708,82.3394632,82.6632184,82.9869736,83.3107288,83.634484,83.9404668,84.2464496,84.5524324,84.8584152,85.164398,85.404899,85.6454,85.885901,86.126402,86.366903,86.5144186,86.6619342,86.8094498,..
Austria,AUT,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,90.3517012,90.5471026,90.742504,90.9222246,91.1019452,91.2816658,91.4613864,91.641107,91.7274724,91.8138378,91.9002032,91.9865686,92.072934,92.1627908,92.2526476,92.3425044,92.4323612,92.522218,92.6650272,92.8078364,92.9506456,..
Azerbaijan,AZE,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,62.5852844,63.5102882,64.435292,65.0804196,65.7255472,66.3706748,67.0158024,67.66093,68.2120964,68.7632628,69.3144292,69.8655956,70.416762,71.209068,72.001374,72.79368,73.585986,74.378292,74.527948,74.677604,74.82726,..
Azerbaijan,AZE,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,76.3154014,76.4509942,76.586587,77.5153338,78.4440806,79.3728274,80.3015742,81.230321,81.539424,81.848527,82.15763,82.466733,82.775836,82.9828526,83.1898692,83.3968858,83.6039024,83.810919,83.9783186,84.1457182,84.3131178,..
"Bahamas, The",BHS,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,64.4495034,64.9573812,65.465259,65.8324172,66.1995754,66.5667336,66.9338918,67.30105,67.7022466,68.1034432,68.5046398,68.9058364,69.307033,69.852057,70.397081,70.942105,71.487129,72.032153,72.206665,72.381177,72.555689,..
"Bahamas, The",BHS,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,78.112785,78.419035,78.725285,78.9294952,79.1337054,79.3379156,79.5421258,79.746336,79.9260174,80.1056988,80.2853802,80.4650616,80.644743,80.9725796,81.3004162,81.6282528,81.9560894,82.283926,82.4683624,82.6527988,82.8372352,..
Bahrain,BHR,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,81.6832148,82.2778054,82.872396,83.130305,83.388214,83.646123,83.904032,84.161941,84.4040066,84.6460722,84.8881378,85.1302034,85.372269,85.5500764,85.7278838,85.9056912,86.0834986,86.261306,86.4268584,86.5924108,86.7579632,..
Bahrain,BHR,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,84.8882254,85.2221022,85.555979,85.873391,86.190803,86.508215,86.825627,87.143039,87.3312438,87.5194486,87.7076534,87.8958582,88.084063,88.2657154,88.4473678,88.6290202,88.8106726,88.992325,89.1450618,89.2977986,89.4505354,..
Bangladesh,BGD,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,66.6014832,67.1314916,67.6615,68.1219062,68.5823124,69.0427186,69.5031248,69.963531,70.3720906,70.7806502,71.1892098,71.5977694,72.006329,72.2854146,72.5645002,72.8435858,73.1226714,73.401757,73.8115774,74.2213978,74.6312182,..
Bangladesh,BGD,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,68.8277908,69.6255374,70.423284,71.132092,71.8409,72.549708,73.258516,73.967324,74.586759,75.206194,75.825629,76.445064,77.064499,77.4911494,77.9177998,78.3444502,78.7711006,79.197751,79.5995176,80.0012842,80.4030508,..
Barbados,BRB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,75.6723862,76.0910406,76.509695,76.8119988,77.1143026,77.4166064,77.7189102,78.021214,78.3207056,78.6201972,78.9196888,79.2191804,79.518672,79.6746522,79.8306324,79.9866126,80.1425928,80.298573,80.5085366,80.7185002,80.9284638,..
Barbados,BRB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,84.1624484,84.2359622,84.309476,84.4210422,84.5326084,84.6441746,84.7557408,84.867307,84.9502116,85.0331162,85.1160208,85.1989254,85.28183,85.3813936,85.4809572,85.5805208,85.6800844,85.779648,85.90178,86.023912,86.146044,..
Belarus,BLR,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,50.5961328,50.5165414,50.43695,50.9780264,51.5191028,52.0601792,52.6012556,53.142332,54.5268106,55.9112892,57.2957678,58.6802464,60.064725,61.3982292,62.7317334,64.0652376,65.3987418,66.732246,67.1042564,67.4762668,67.8482772,..
Belarus,BLR,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,79.1827924,79.2565192,79.330246,79.7872588,80.2442716,80.7012844,81.1582972,81.61531,82.3560634,83.0968168,83.8375702,84.5783236,85.319077,85.8408472,86.3626174,86.8843876,87.4061578,87.927928,88.064965,88.202002,88.339039,..
Belgium,BEL,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,80.8265192,81.1136716,81.400824,81.7236462,82.0464684,82.3692906,82.6921128,83.014935,83.359634,83.704333,84.049032,84.393731,84.73843,84.9982084,85.2579868,85.5177652,85.7775436,86.037322,86.2686036,86.4998852,86.7311668,..
Belgium,BEL,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,89.568754,89.694116,89.819478,89.9294194,90.0393608,90.1493022,90.2592436,90.369185,90.48243,90.595675,90.70892,90.822165,90.93541,91.0624592,91.1895084,91.3165576,91.4436068,91.570656,91.6810834,91.7915108,91.9019382,..
Belize,BLZ,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,65.1455182,65.3438516,65.542185,65.745683,65.949181,66.152679,66.356177,66.559675,67.1832836,67.8068922,68.4305008,69.0541094,69.677718,69.7993136,69.9209092,70.0425048,70.1641004,70.285696,70.5138886,70.7420812,70.9702738,..
Belize,BLZ,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,77.0649856,77.2334888,77.401992,77.5677796,77.7335672,77.8993548,78.0651424,78.23093,78.5634408,78.8959516,79.2284624,79.5609732,79.893484,80.3139564,80.7344288,81.1549012,81.5753736,81.995846,82.1712418,82.3466376,82.5220334,..
Benin,BEN,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,49.4091668,49.7502694,50.091372,50.8572162,51.6230604,52.3889046,53.1547488,53.920593,54.2979754,54.6753578,55.0527402,55.4301226,55.807505,56.1991798,56.5908546,56.9825294,57.3742042,57.765879,58.2126658,58.6594526,59.1062394,..
Benin,BEN,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,55.8270306,56.0205758,56.214121,56.8810236,57.5479262,58.2148288,58.8817314,59.548634,59.9402624,60.3318908,60.7235192,61.1151476,61.506776,61.9508874,62.3949988,62.8391102,63.2832216,63.727333,64.2169872,64.7066414,65.1962956,..
Bhutan,BTN,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,56.5798168,57.8646644,59.149512,60.3198198,61.4901276,62.6604354,63.8307432,65.001051,65.7031784,66.4053058,67.1074332,67.8095606,68.511688,69.0262748,69.5408616,70.0554484,70.5700352,71.084622,71.4703702,71.8561184,72.2418666,..
Bhutan,BTN,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,56.183474,57.503858,58.824242,59.9608192,61.0973964,62.2339736,63.3705508,64.507128,65.1105592,65.7139904,66.3174216,66.9208528,67.524284,68.1964664,68.8686488,69.5408312,70.2130136,70.885196,71.414696,71.944196,72.473696,..
Bolivia,BOL,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,58.3396238,59.0310304,59.722437,60.3010882,60.8797394,61.4583906,62.0370418,62.615693,63.1359406,63.6561882,64.1764358,64.6966834,65.216931,65.5199404,65.8229498,66.1259592,66.4289686,66.731978,67.0747602,67.4175424,67.7603246,..
Bolivia,BOL,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,65.843956,66.643622,67.443288,68.1173842,68.7914804,69.4655766,70.1396728,70.813769,71.4069106,72.0000522,72.5931938,73.1863354,73.779477,74.1798554,74.5802338,74.9806122,75.3809906,75.781369,76.1184064,76.4554438,76.7924812,..
Bosnia and Herzegovina,BIH,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,74.3660082,74.8518066,75.337605,75.6904278,76.0432506,76.3960734,76.7488962,77.101719,77.598488,78.095257,78.592026,79.088795,79.585564,79.7822968,79.9790296,80.1757624,80.3724952,80.569228,80.8347556,81.1002832,81.3658108,..
